人物显示类型	人物类型	资源文件路经	阴影大小	高度	缩放比例	头部	躯体	下身	坐骑	躯体基本动作	下身基本动作	头部基本动作	坐骑基本动作	情绪动作无门派	情绪动作少林	情绪动作武当	情绪动作丐帮	情绪动作唐门	情绪动作峨嵋
风筝绿	普通npc	\image\passby\416	2	200	80														
风筝七彩	普通npc	\image\passby\416	2	200	80														
水果树	普通npc	\image\enemy\shenqiguoshu	2	200	80														
四灵树1	普通npc	\image\enemy\shu1	2	200	80														
四灵树2_1	普通npc	\image\enemy\shu2	2	200	70														
四灵树2_2	普通npc	\image\enemy\shu2	2	200	100														
四灵树3_1	普通npc	\image\enemy\shu3	2	200	70														
四灵树3_2	普通npc	\image\enemy\shu3	2	200	100														
四灵树4	普通npc	\image\enemy\shu4	2	200	100														
齐天大圣	普通npc	\image\enemy\meihouwang1	2	250	100														
齐天大圣2	普通npc	\image\enemy\meihouwang2	4	500	80														
白金树	普通npc	\image\enemy\baijinshu	2	100	100														
火堆	普通npc	\image\enemy\huodui	2	100	50														
田地1	普通npc	\image\passby\菜地	2	50	100														
田地2	普通npc	\image\passby\菜地	2	50	100														
田地3	普通npc	\image\passby\菜地	2	50	100														
田地4	普通npc	\image\passby\菜地	2	50	100														
运粮车	普通npc	\image\passby\运粮车	2	100	50														
火船	普通npc	\image\passby\火船	2	100	50														
指挥船	普通npc	\image\passby\指挥船	2	100	50														
土狼王	普通npc	\image\enemy\074	2	65	130														
青狼王	普通npc	\image\enemy\074	2	65	130														
武当首席标准男	普通npc	\image\passby\381	2	130	60														
峨嵋首席性感女	普通npc	\image\passby\374	2	130	60														
五毒首席标准男	普通npc	\image\passby\389	2	130	60														
唐门首席标准男地	普通npc	\image\passby\371	2	130	60														
丐帮首席标准男	普通npc	\image\passby\377	2	130	60														
杨门首席娇小女	普通npc	\image\passby\387	2	130	60														
新任务机关	普通npc	\image\enemy\城门机关	2	150	20														
红印教主	普通npc	\image\passby\429	2	130	60														
东方不败	普通npc	\image\passby\dongfangbubai	2	150	100														
蓝旗刺客	普通npc	\image\passby\412	2	130	60														
黄旗刺客	普通npc	\image\passby\412	2	130	60														
红旗刺客	普通npc	\image\passby\412	2	130	60														
白旗刺客	普通npc	\image\passby\413	2	130	60														
黑旗刺客	普通npc	\image\passby\412	2	130	60														
蓝旗旗主	普通npc	\image\enemy\322	2	150	80														
黄旗旗主	普通npc	\image\enemy\170	2	150	80														
红旗旗主	普通npc	\image\enemy\170	2	150	80														
白旗旗主	普通npc	\image\enemy\077	2	150	80														
黑旗旗主	普通npc	\image\enemy\319	2	150	80														
银剑	普通npc	\image\enemy\452	2	180	80														
小燕子信使	普通npc	\image\enemy\453	2	160	80														
隐形人	普通npc	\image\enemy\452	2	180	80														
李元旭	普通npc	\image\enemy\327	2	130	60														
任盈盈	普通npc	\image\enemy\renyinyin	2	130	60														
婉柔云	普通npc	\image\passby\406	2	130	60														
圣诞树	普通npc	\image\passby\360	2	320	60														
09大圣诞树	普通npc	\image\passby\360	2	500	100														
雪人	普通npc	\image\passby\361	2	150	100														
大红灯笼	普通npc	\image\passby\362	2	500	100														
红灯笼	普通npc	\image\passby\362	2	320	60														
小驯鹿	普通npc	\image\passby\363	2	60	30														
小金牛	普通npc	\image\passby\364	2	60	30														
圣诞大礼包	普通npc	\image\passby\365	2	50	60														
圣诞小礼包	普通npc	\image\passby\365	2	30	30														
红印教众1	普通npc	\image\enemy\449	2	150	80														
红印教众2	普通npc	\image\enemy\450	2	150	80														
红印教众3	普通npc	\image\enemy\451	2	150	80														
少阳弟子1	普通npc	\image\passby\366	2	170	80														
文史弟子1	普通npc	\image\passby\367	2	160	80														
隐形人阿亮	普通npc	\image\enemy\452	2	180	80														
真纳娜	普通npc	\image\enemy\454	2	200	80														
少林首席标准男	普通npc	\image\passby\368	2	130	60														
少林首席魁梧男	普通npc	\image\passby\369	2	130	60														
唐门首席魁梧男	普通npc	\image\passby\370	2	130	60														
唐门首席标准男	普通npc	\image\passby\371	2	130	60														
唐门首席性感女	普通npc	\image\passby\372	2	130	60														
唐门首席娇小女	普通npc	\image\passby\373	2	130	60														
峨嵋首席娇小女	普通npc	\image\passby\375	2	130	60														
丐帮首席魁梧男	普通npc	\image\passby\376	2	130	60														
丐帮首席性感女	普通npc	\image\passby\378	2	130	60														
丐帮首席娇小女	普通npc	\image\passby\379	2	130	60														
武当首席魁梧男	普通npc	\image\passby\380	2	130	60														
武当首席性感女	普通npc	\image\passby\382	2	130	60														
武当首席娇小女	普通npc	\image\passby\383	2	130	60														
杨门首席魁梧男	普通npc	\image\passby\384	2	130	60														
杨门首席标准男	普通npc	\image\passby\385	2	130	60														
杨门首席性感女	普通npc	\image\passby\386	2	130	60														
五毒首席魁梧男	普通npc	\image\passby\388	2	130	60														
五毒首席性感女	普通npc	\image\passby\390	2	130	60														
五毒首席娇小女	普通npc	\image\passby\391	2	130	60														
昆仑首席标准男	普通npc	\image\passby\392	2	130	60														
昆仑首席魁梧男	普通npc	\image\passby\393	2	130	60														
明教首席魁梧男	普通npc	\image\passby\394	2	130	60														
明教首席标准男	普通npc	\image\passby\395	2	130	60														
明教首席性感女	普通npc	\image\passby\396	2	130	60														
明教首席娇小女	普通npc	\image\passby\397	2	130	60														
翠烟首席性感女	普通npc	\image\passby\398	2	130	60														
翠烟首席娇小女	普通npc	\image\passby\399	2	130	60														
叶子丘	普通npc	\image\passby\400	2	130	60														
韩丹心	普通npc	\image\passby\401	2	130	60														
铁面	普通npc	\image\passby\402	2	130	60														
绝情	普通npc	\image\passby\403	2	180	60														
冰心	普通npc	\image\passby\404	2	130	60														
地煞	普通npc	\image\passby\405	2	130	60														
天阴机关匠人	普通npc	\image\passby\407	2	130	60														
星字机关人	普通npc	\image\passby\408	2	130	60														
天阴教机关1	普通npc	\image\passby\409	2	130	40														
天阴教机关2	普通npc	\image\passby\410	2	130	60														
武林盟护卫	普通npc	\image\passby\411	2	130	60														
少阳弟子11	普通npc	\image\passby\366	2	130	60														
文史弟子11	普通npc	\image\passby\367	2	130	60														
隐形人阿亮2	普通npc	\image\enemy\452	2	180	80														
天阴教机关11	普通npc	\image\passby\409	2	130	80														
隐形人阿亮3	普通npc	\image\enemy\452	2	180	80														
清溪1	普通npc	\image\enemy\194	2	130	60														
蓝旗圣旗	普通npc	\image\enemy\城门大旗	2	560	100														
黄旗圣旗	普通npc	\image\enemy\城门大旗	2	560	100														
红旗圣旗	普通npc	\image\enemy\城门大旗	2	560	100														
白旗圣旗	普通npc	\image\enemy\城门大旗	2	560	100														
黑旗圣旗	普通npc	\image\enemy\城门大旗	2	560	100														
噬魂	普通npc	\image\enemy\080	2	130	50														
小小金虎	普通npc	\image\passby\418	2	60	30														
玫瑰花银	普通npc	\image\passby\155	2	130	60														
玫瑰花金	普通npc	\image\passby\155	2	130	60														
武当首席魁梧男地	普通npc	\image\passby\380	2	130	60														
峨嵋首席娇小女地	普通npc	\image\passby\375	2	130	60														
少林首席标准男地	普通npc	\image\passby\368	2	130	60														
唐门首席娇小女地	普通npc	\image\passby\373	2	130	60														
明教首席娇小女地	普通npc	\image\passby\397	2	130	60														
昆仑首席魁梧男地	普通npc	\image\passby\393	2	130	60														
明教首席标准男地	普通npc	\image\passby\395	2	130	60														
五毒首席魁梧男地	普通npc	\image\passby\388	2	130	60														
明教首席性感女地	普通npc	\image\passby\396	2	130	60														
丐帮首席娇小女地	普通npc	\image\passby\379	2	130	60														
婉清儿	普通npc	\image\passby\419	2	130	60														
逍遥标准男	普通npc	\image\passby\423	2	65	30														
逍遥魁梧男	普通npc	\image\passby\422	2	65	30														
逍遥性感女	普通npc	\image\passby\420	2	65	30														
逍遥娇小女	普通npc	\image\passby\421	2	65	30														
邮箱	普通npc	\image\passby\417	2	100	20														
摘星手迟东	普通npc	\image\passby\424	2	130	60														
铸月锤李壕	普通npc	\image\passby\425	2	130	60														
融日火谭娜	普通npc	\image\passby\426	2	130	60														
小浣熊	普通npc	\image\passby\427	2	130	60														
五行使金大	普通npc	\image\enemy\320	2	220	105														
五行使木大	普通npc	\image\enemy\320	2	220	105														
五行使水大	普通npc	\image\enemy\320	2	220	105														
五行使火大	普通npc	\image\enemy\320	2	220	105														
五行使土大	普通npc	\image\enemy\320	2	220	105														
镖车1	普通npc	\image\passby\428	2	130	50														
镖车2	普通npc	\image\passby\428	2	130	50														
镖车3	普通npc	\image\passby\428	2	130	50														
镖车4	普通npc	\image\passby\428	2	130	50														
镖车5	普通npc	\image\passby\428	2	130	50														
洛飞	普通npc	\image\passby\430	2	130	60														
秋若水	普通npc	\image\passby\431	2	130	60														
杂兵标准	普通npc	\image\passby\433	2	130	60														
杂兵魁梧	普通npc	\image\passby\434	2	130	60														
杂兵性感	普通npc	\image\passby\435	2	130	60														
杂兵娇小	普通npc	\image\passby\436	2	130	60														
隐形人1	普通npc	\image\enemy\452	2	220	100														
隐形人2	普通npc	\image\enemy\452	2	220	100														
隐形人3	普通npc	\image\enemy\452	2	220	100														
隐形人4	普通npc	\image\enemy\452	2	220	100														
隐形人5	普通npc	\image\enemy\452	2	220	100														
隐形人6	普通npc	\image\enemy\452	2	220	100														
隐形人7	普通npc	\image\enemy\452	2	220	100														
隐形人8	普通npc	\image\enemy\452	2	220	100														
隐形人9	普通npc	\image\enemy\452	2	220	100														
隐形人10	普通npc	\image\enemy\452	2	220	100														
剑无	普通npc	\image\passby\392	2	130	100														
柴火点	普通npc	\image\passby\437	2	80	60														
太虚古树1	普通npc	\image\passby\438	4	240	180														
太虚古树2	普通npc	\image\passby\438	4	240	180														
太虚古树3	普通npc	\image\passby\438	4	240	180														
太虚树成长阶段	普通npc	\image\passby\438	4	240	80														
太虚树最终阶段	普通npc	\image\passby\438	4	240	180														
跟随玉麒麟2	普通npc	\image\enemy\054	2	50	40														
跟随小素仙	普通npc	\image\passby\431	2	65	30														
跟随小花圣	普通npc	\image\passby\430	2	65	30														
跟随吉祥小白虎	普通npc	\image\enemy\008	2	50	30														
杂兵性感大	普通npc	\image\passby\435	2	220	105														
跟随小牦牛	普通npc	\image\enemy\165	2	100	40														
柴火点大	普通npc	\image\passby\437	2	150	120														
飞信白虎	普通npc	\image\passby\439	2	200	20														
飞信凤	普通npc	\image\passby\440	2	200	20														
飞信龙	普通npc	\image\passby\441	2	200	20														
飞信鹰	普通npc	\image\passby\442	2	200	20														
小雪人	普通npc	\image\passby\361	2	150	50														
血侯萧炀	普通npc	\image\enemy\092	2	200	80														
伏梦	普通npc	\image\passby\432	2	200	90														
毕堰	普通npc	\image\enemy\173	2	200	80														
黑长老萧冉月	普通npc	\image\enemy\131	2	200	90														
白长老毕天	普通npc	\image\enemy\328	2	200	90														
通天老祖	普通npc	\image\passby\429	2	200	80														
万剑兵马俑统领	普通npc	\image\enemy\315	2	200	70														
机关盘龙柱	普通npc	\image\enemy\182	4	520	40														
天剑叶风	普通npc	\image\enemy\141	2	200	90														
人剑叶梦	普通npc	\image\enemy\076	2	200	90														
万剑魔剑奴	普通npc	\image\enemy\070	2	200	70														
阵眼封印	普通npc	\image\enemy\129	2	160	30														
黄金宝贝	普通npc	\image\passby\黄金宝贝	2	150	150														
嗜血魔人	普通npc	\image\enemy\068	2	130	100														
巨石火人	普通npc	\image\enemy\052	4	230	100														
旋转棍人	普通npc	\image\enemy\179	2	130	100														
千年火麒麟	普通npc	\image\enemy\054	2	180	100														
大鱼怪	普通npc	\image\enemy\055	2	160	100														
玉修罗箫奕	普通npc	\image\passby\464	2	160	100														
修罗碎影	普通npc	\image\passby\465	2	120	60														
惊雷九龙吞云兽	普通npc	\image\passby\466	2	140	50														
业火九龙吞云兽	普通npc	\image\passby\467	2	280	50														
吞云小兽	普通npc	\image\passby\468	2	45	30														
避雷针	普通npc	\image\passby\469	2	130	100														
太一杨宗保	普通npc	\image\passby\470	2	205	100														
太一穆桂英	普通npc	\image\passby\471	2	200	100														
神兽辟邪	普通npc	\image\passby\472	2	240	100														
黑蘑菇	普通npc	\image\passby\473	2	130	60														
绿蘑菇	普通npc	\image\passby\474	2	130	60														
红蘑菇	普通npc	\image\passby\475	2	130	60														
蓝蘑菇	普通npc	\image\passby\476	2	130	60														
荒火鎏金	普通npc	\image\passby\477	2	250	100														
耶律飞鸿	普通npc	\image\passby\478	2	250	95														
太一伴随杨宗保	普通npc	\image\passby\479	2	130	60														
太一伴随穆桂英	普通npc	\image\passby\480	2	130	60														
菁菁姑娘	普通npc	\image\passby\481	2	140	70														
魅魔	普通npc	\image\enemy\090	2	120	60														
荒火鎏金刀	普通npc	\image\passby\482	2	600	100														
隐形的女王	普通npc	\image\enemy\452	2	180	80														
木质宝箱	普通npc	\image\passby\DC	2	60	45														
黑铁宝箱	普通npc	\image\passby\DC	2	60	45														
青铜宝箱	普通npc	\image\passby\DC	2	60	45														
白银宝箱	普通npc	\image\passby\DC	2	60	45														
黄金宝箱	普通npc	\image\passby\DC	2	60	45														
钻石宝箱	普通npc	\image\passby\DC	2	75	45														
世界BOSS宝箱	普通npc	\image\passby\DC	2	200	135														
桃花岛主黄龙	普通npc	\image\passby\514	4	320	140														
西域苍狼霸王	普通npc	\image\passby\492	4	320	140														
玉山之灵天玖	普通npc	\image\passby\533	4	320	140														
幽泽之影冥武	普通npc	\image\passby\491	4	320	140														
完颜希尹	普通npc	\image\passby\489	2	140	70														
吴刚坐骑	普通npc	\image\enemy\148	2	200	150														
坐骑分身	普通npc	\image\enemy\148	2	160	115														
小坐骑	普通npc	\image\enemy\148	2	100	70														
宠物小浣熊	普通npc	\image\passby\huanxiong	2	95	50														
宠物霸王鳄	普通npc	\image\passby\bawange	2	100	30														
宠物胖傻鸟	普通npc	\image\passby\shaniao	2	95	80														
恩怨台战旗	普通npc	\image\passby\349	2	360	25														
五行阵印	普通npc		0	0	0														
玄武剑阵	普通npc			280	60														
天罗地网网子	普通npc			80	60														
红灯笼	普通npc	\image\passby\362	2	320	60														
boss气墙	普通npc			280	60														
冲天浪	普通npc			280	60														
吸星阵机关	普通npc			280	60														
