Npc显示类型	模型	贴图	动画	偏色	插槽1	武器名称1	插槽2	武器名称2	头像序号
师门秘室武当道家高手3	194.mesh	194a.mtl	194a.ani		S_HR	笔8a			
师门秘室武当道家高手4	194.mesh	194a.mtl	194a.ani		S_HR	笔8a			
师门秘室武当道家高手5	194.mesh	194a.mtl	194a.ani		S_HR	笔8a			
师门秘室武当道家高手6	194.mesh	194a.mtl	194a.ani		S_HR	笔8a			
师门秘室武当道家高手7	194.mesh	194a.mtl	194a.ani		S_HR	笔8a			
师门秘室武当道家高手8	194.mesh	194a.mtl	194a.ani		S_HR	笔8a			
师门秘室武当道家高手9	194.mesh	194a.mtl	194a.ani		S_HR	笔8a			
师门秘室武当俗家守卫1	193.mesh	193.Mtl	193b.Ani		S_HR	笔6b			
师门秘室武当俗家守卫2	193.mesh	193.Mtl	193b.Ani		S_HR	笔6b			
师门秘室武当俗家守卫3	193.mesh	193.Mtl	193b.Ani		S_HR	笔6b			
师门秘室武当俗家守卫4	193.mesh	193.Mtl	193b.Ani		S_HR	笔6b			
师门秘室武当俗家守卫5	193.mesh	193.Mtl	193b.Ani		S_HR	笔6b			
师门秘室武当俗家守卫6	193.mesh	193.Mtl	193b.Ani		S_HR	笔6b			
师门秘室武当俗家守卫7	193.mesh	193.Mtl	193b.Ani		S_HR	笔6b			
师门秘室武当俗家守卫8	193.mesh	193.Mtl	193b.Ani		S_HR	笔6b			
师门秘室武当俗家守卫9	193.mesh	193.Mtl	193b.Ani		S_HR	笔6b			
师门秘室武当俗家高手1	194.mesh	194a.mtl	194a.ani		S_HR	笔8a			
师门秘室武当俗家高手2	194.mesh	194a.mtl	194a.ani		S_HR	笔8a			
师门秘室武当俗家高手3	194.mesh	194a.mtl	194a.ani		S_HR	笔8a			
师门秘室武当俗家高手4	194.mesh	194a.mtl	194a.ani		S_HR	笔8a			
师门秘室武当俗家高手5	194.mesh	194a.mtl	194a.ani		S_HR	笔8a			
师门秘室武当俗家高手6	194.mesh	194a.mtl	194a.ani		S_HR	笔8a			
师门秘室武当俗家高手7	194.mesh	194a.mtl	194a.ani		S_HR	笔8a			
师门秘室武当俗家高手8	194.mesh	194a.mtl	194a.ani		S_HR	笔8a			
师门秘室武当俗家高手9	194.mesh	194a.mtl	194a.ani		S_HR	笔8a			
师门秘室杨门枪骑守卫1	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门枪骑守卫2	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门枪骑守卫3	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门枪骑守卫4	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门枪骑守卫5	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门枪骑守卫6	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门枪骑守卫7	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门枪骑守卫8	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门枪骑守卫9	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门枪骑高手1	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门枪骑高手2	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门枪骑高手3	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门枪骑高手4	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门枪骑高手5	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门枪骑高手6	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门枪骑高手7	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门枪骑高手8	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门枪骑高手9	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门弓骑守卫1	206.mesh	206.Mtl	206.Ani				S_HL	弓7a	
师门秘室杨门弓骑守卫2	206.mesh	206.Mtl	206.Ani				S_HL	弓7a	
师门秘室杨门弓骑守卫3	206.mesh	206.Mtl	206.Ani				S_HL	弓7a	
师门秘室杨门弓骑守卫4	206.mesh	206.Mtl	206.Ani				S_HL	弓7a	
师门秘室杨门弓骑守卫5	206.mesh	206.Mtl	206.Ani				S_HL	弓7a	
师门秘室杨门弓骑守卫6	206.mesh	206.Mtl	206.Ani				S_HL	弓7a	
师门秘室杨门弓骑守卫7	206.mesh	206.Mtl	206.Ani				S_HL	弓7a	
师门秘室杨门弓骑守卫8	206.mesh	206.Mtl	206.Ani				S_HL	弓7a	
师门秘室杨门弓骑守卫9	206.mesh	206.Mtl	206.Ani				S_HL	弓7a	
师门秘室杨门弓骑高手1	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门弓骑高手2	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门弓骑高手3	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门弓骑高手4	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门弓骑高手5	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门弓骑高手6	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门弓骑高手7	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门弓骑高手8	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室杨门弓骑高手9	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
师门秘室五毒邪侠守卫1	208.mesh	208.Mtl	208b.Ani		S_HR	双刀7b	S_HL	双刀7b	
师门秘室五毒邪侠守卫2	208.mesh	208.Mtl	208b.Ani		S_HR	双刀7b	S_HL	双刀7b	
师门秘室五毒邪侠守卫3	208.mesh	208.Mtl	208b.Ani		S_HR	双刀7b	S_HL	双刀7b	
师门秘室五毒邪侠守卫4	208.mesh	208.Mtl	208b.Ani		S_HR	双刀7b	S_HL	双刀7b	
师门秘室五毒邪侠守卫5	208.mesh	208.Mtl	208b.Ani		S_HR	双刀7b	S_HL	双刀7b	
师门秘室五毒邪侠守卫6	208.mesh	208.Mtl	208b.Ani		S_HR	双刀7b	S_HL	双刀7b	
师门秘室五毒邪侠守卫7	208.mesh	208.Mtl	208b.Ani		S_HR	双刀7b	S_HL	双刀7b	
师门秘室五毒邪侠守卫8	208.mesh	208.Mtl	208b.Ani		S_HR	双刀7b	S_HL	双刀7b	
师门秘室五毒邪侠守卫9	208.mesh	208.Mtl	208b.Ani		S_HR	双刀7b	S_HL	双刀7b	
师门秘室五毒邪侠高手1	209.mesh	209a.mtl	209a.ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒邪侠高手2	209.mesh	209a.mtl	209a.ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒邪侠高手3	209.mesh	209a.mtl	209a.ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒邪侠高手4	209.mesh	209a.mtl	209a.ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒邪侠高手5	209.mesh	209a.mtl	209a.ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒邪侠高手6	209.mesh	209a.mtl	209a.ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒邪侠高手7	209.mesh	209a.mtl	209a.ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒邪侠高手8	209.mesh	209a.mtl	209a.ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒邪侠高手9	209.mesh	209a.mtl	209a.ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒蛊师守卫1	208.mesh	208.Mtl	208b.Ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒蛊师守卫2	208.mesh	208.Mtl	208b.Ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒蛊师守卫3	208.mesh	208.Mtl	208b.Ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒蛊师守卫4	208.mesh	208.Mtl	208b.Ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒蛊师守卫5	208.mesh	208.Mtl	208b.Ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒蛊师守卫6	208.mesh	208.Mtl	208b.Ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒蛊师守卫7	208.mesh	208.Mtl	208b.Ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒蛊师守卫8	208.mesh	208.Mtl	208b.Ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒蛊师守卫9	208.mesh	208.Mtl	208b.Ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒蛊师高手1	209.mesh	209a.mtl	209a.ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒蛊师高手2	209.mesh	209a.mtl	209a.ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒蛊师高手3	209.mesh	209a.mtl	209a.ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒蛊师高手4	209.mesh	209a.mtl	209a.ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒蛊师高手5	209.mesh	209a.mtl	209a.ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒蛊师高手6	209.mesh	209a.mtl	209a.ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒蛊师高手7	209.mesh	209a.mtl	209a.ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒蛊师高手8	209.mesh	209a.mtl	209a.ani		S_HR	双刀8a	S_HL	双刀8a	
师门秘室五毒蛊师高手9	209.mesh	209a.mtl	209a.ani		S_HR	双刀8a	S_HL	双刀8a	
龙门酒席大	168.mesh	168a.Mtl	168a.Ani						
龙门酒席小	168.mesh	168a.Mtl	168a.Ani						
圣火台	201.mesh	201.Mtl	200.Ani						
火炬台	200.mesh	200.Mtl	200.Ani						
盛世火炬台	202.mesh	202.Mtl	200.Ani						
中心灯笼	zhongqiudeng.mesh	zhongqiudeng.Mtl	zhongqiudeng.Ani						
幸运灯笼	zhongqiudeng.mesh	zhongqiudeng.Mtl	zhongqiudeng.Ani						
飞燕仙子	077.mesh	077f.Mtl	077f.Ani		S_HR	伞			
带蜡烛烛台小	181a.mesh	181a.Mtl	181a.Ani 						
无蜡烛烛台	181b.mesh	181b.Mtl	181a.Ani 						
新玫瑰花小	182a.mesh	182a.Mtl	182.Ani						
新玫瑰花大	182b.mesh	182b.Mtl	182.Ani						
貂4	mon_mod220.Mesh	220b.Mtl	233.Ani						
紫貂	mon_mod220.Mesh	220a.Mtl	235.Ani						
灰貂	mon_mod220.Mesh	220b.Mtl	235.Ani						
金貂	mon_mod220.Mesh	220c.Mtl	235.Ani						
红貂	mon_mod220.Mesh	220d.Mtl	235.Ani						
白貂	mon_mod220.Mesh	220e.Mtl	235.Ani						
七彩貂	mon_mod220.Mesh	220f.Mtl	235.Ani						
紫短尾貂	mon_mod221.Mesh	221a.Mtl	235.Ani						
灰短尾貂	mon_mod221.Mesh	221b.Mtl	235.Ani						
金短尾貂	mon_mod221.Mesh	221c.Mtl	235.Ani						
红短尾貂	mon_mod221.Mesh	221d.Mtl	235.Ani						
白短尾貂	mon_mod221.Mesh	221e.Mtl	235.Ani						
七彩短尾貂	mon_mod221.Mesh	221f.Mtl	235.Ani						
紫闪电貂	mon_mod222.Mesh	222a.Mtl	235.Ani						
灰闪电貂	mon_mod222.Mesh	222b.Mtl	235.Ani						
金闪电貂	mon_mod222.Mesh	222c.Mtl	235.Ani						
红闪电貂	mon_mod222.Mesh	222d.Mtl	235.Ani						
白闪电貂	mon_mod222.Mesh	222e.Mtl	235.Ani						
七彩闪电貂	mon_mod222.Mesh	222f.Mtl	235.Ani						
紫仙貂	mon_mod223.Mesh	223a.Mtl	235.Ani						
灰仙貂	mon_mod223.Mesh	223b.Mtl	235.Ani						
金仙貂	mon_mod223.Mesh	223c.Mtl	235.Ani						
红仙貂	mon_mod223.Mesh	223d.Mtl	235.Ani						
白仙貂	mon_mod223.Mesh	223e.Mtl	235.Ani						
七彩仙貂	mon_mod223.Mesh	223f.Mtl	235.Ani						
桃花树	236.Mesh	236.Mtl	236.Ani						
柴凰儿	237.Mesh	237.Mtl	237.Ani						
周子雯	238.Mesh	238.Mtl	238.Ani						
胡曼成	239.Mesh	239.Mtl	239.Ani						
刘青眉	240.Mesh	240.Mtl	240.Ani						
何谐	241.Mesh	241.Mtl	241.Ani						
巧巧	242.Mesh	242.Mtl	242.Ani						
柴风儿	243.Mesh	243.Mtl	243.Ani						
天元法阵石柱	244.Mesh	244.Mtl	244.Ani						
司行方	245.Mesh	245.Mtl	245.Ani						
邓元觉	246.Mesh	246.Mtl	246.Ani						
师门秘室昆仑守卫	334.Mesh	334.Mtl	334.Ani		S_HR	长剑7a			
师门秘室昆仑高手	331.Mesh	331.Mtl	331.Ani		S_HR	长剑7a			
师门秘室明教圣战守卫	339.Mesh	339.Mtl	339.Ani		S_HR	单刀7a			
师门秘室明教圣战高手	340.Mesh	340.Mtl	340.Ani						
师门秘室明教阵兵守卫	335.Mesh	335.Mtl	335.Ani		S_HR	笔8a			
师门秘室明教阵兵高手	336.Mesh	336.Mtl	336.Ani		S_HR	笔8a			
师门秘室明教血人守卫	337.Mesh	337.Mtl	337.Ani		S_HL	爪8a	S_HR	爪8a	
师门秘室明教血人高手	338.Mesh	338.Mtl	338.Ani		S_HL	爪8a	S_HR	爪8a	
翠烟师门杂兵1	332.Mesh	332.Mtl	332.Ani		S_HR	笛10b			
金阵旗	330.Mesh	330.Mtl	330.Ani						
木阵旗	330.Mesh	330b.Mtl	330.Ani						
水阵旗	330.Mesh	330c.Mtl	330.Ani						
火阵旗	330.Mesh	330d.Mtl	330.Ani						
土阵旗	330.Mesh	330e.Mtl	330.Ani						
南宫晚晚	341.Mesh	341.Mtl	341.Ani		S_HR	长剑8a	S_HL	长剑8a	
南宫紫娟	342.Mesh	342.Mtl	342.Ani		S_HR	长剑8a			
七色童子	076.mesh	076c.Mtl	076c.Ani		S_HR	076_剑			
山熊	009.mesh	009a.Mtl	009a.Ani						
雪猿	441.mesh	441.Mtl	441.Ani						
九霞散人	442.mesh	442.Mtl	442.Ani		S_HR	076_剑			
义侠耿云飞	444.mesh	444.Mtl	444.Ani		021a	鬼头刀01			
礼侠辛清冉	067.mesh	067a.Mtl	067a.Ani		S_HR	067枪			
智侠百晓生	087.mesh	087a.Mtl	087a.Ani						
信侠梁尚玉	032.mesh	032b.Mtl	032b.Ani		032b	WQ032b			
黄龙客	175.mesh	175a.Mtl	175a.Ani		S_HR	175aw			
威天虫王	051.mesh	051c.Mtl	051c.Ani						
圣天蛇王	053.mesh	053b.Mtl	053b.Ani						
煞天猪王	070.mesh	070.Mtl	070.Ani		S_HR	064_武器长锤			
昆仑剑客	085.mesh	085c.Mtl	085c.Ani		S_HR	长剑7a			
水神祭祀	061.mesh	061a.Mtl	061a.Ani						
火神祭祀	061.mesh	061b.Mtl	061b.Ani						
无常侍从	134.mesh	134a.Mtl	134a.Ani		S_HR	134aw			
通天妖道吴越老祖	093.mesh	093a.Mtl	093a.Ani						
无常书匣	drop_mod019.Mesh	drop_mod019.Mtl	drop.Ani						
武器架	343.Mesh	343.Mtl	343.Ani						
盾牌架	344.Mesh	344.Mtl	344.Ani						
绿树叶	345.Mesh	345.Mtl	345.Ani						
飞鞋	346.Mesh	346.Mtl	346.Ani						
旗杆1	347.Mesh	347.Mtl	347.Ani						
旗杆2	347.Mesh	347.Mtl	347.Ani						
旗杆3	347.Mesh	347.Mtl	347.Ani						
旗杆4	347.Mesh	347.Mtl	357.Ani						
紫色生门	348a.mesh	348a1.Mtl	348.Ani						
蓝色生门	348a.mesh	348a2.Mtl	348.Ani						
紫色死门	348b.mesh	348b1.Mtl	348.Ani						
蓝色死门	348b.mesh	348b2.Mtl	348.Ani						
紫色景门	348c.mesh	348c1.Mtl	348.Ani						
蓝色景门	348c.mesh	348c2.Mtl	348.Ani						
紫色灭门	348d.mesh	348d1.Mtl	348.Ani						
蓝色灭门	348d.mesh	348d2.Mtl	348.Ani						
紫色阵旗	349a.Mesh	349a.Mtl	349.Ani						
蓝色阵旗	349b.Mesh	349b.Mtl	349.Ani						
紫色败旗	349a.Mesh	349a1.Mtl	349.Ani						
蓝色败旗	349b.Mesh	349b1.Mtl	349.Ani						
大木人	096.mesh	096a.Mtl	096a.Ani						
楚风	350.mesh	350.Mtl	350.Ani		S_HR	长剑8a			
耶律保图	064b.mesh	064b.Mtl	064b.Ani		S_HR	064_武器长锤			
峨嵋小师姐	351.mesh	351.mtl	351a.ani		S_HR	长剑7a			
杨文超	352.mesh	352.Mtl	352.Ani		S_HR	长剑8a			
莫惊风	445.mesh	445.Mtl	445.Ani		S_HR	076_剑			
华南幼崽	008.mesh	008a.Mtl	008a.Ani						
巨型雪猿	441.mesh	441.Mtl	441.Ani						
彩霞羽	npc_mod191.mesh	npc_mod191.Mtl	a.Ani						
灵鳌石	npc_mod194.mesh	npc_mod194.Mtl	a.Ani						
仙人菜	npc_mod213.mesh	npc_mod213.Mtl	a.Ani						
妖灵水晶	npc_mod209.mesh	npc_mod209.Mtl	a.Ani						
昆仑石	npc_mod206.mesh	npc_mod206.Mtl	a.Ani						
昆仑玉	npc_mod207.mesh	npc_mod207.Mtl	a.Ani						
及时雨宋江	069.mesh	069a.Mtl	069a.Ani		S_HR	076_剑			
智多星吴用	087.mesh	087a.Mtl	087a.Ani						
九纹龙史进	175.mesh	175b.Mtl	175b.Ani		S_HR	175bw			
小旋风柴进	087.mesh	087b.Mtl	087b.Ani		087b	宝剑01			
醉半仙风一帆	448.mesh	448.Mtl	448.Ani		S_HR	076_剑			
大刀关胜	063.mesh	063a.Mtl	063a.Ani		S_HR	mon_063w			
双鞭呼延灼	072.mesh	072.Mtl	072.Ani						
豹子头林冲	063.mesh	063a.Mtl	063a.Ani		S_HR	mon_063w			
花和尚鲁智深	028.mesh	028a.Mtl	028a.Ani		S_HR	mon_028aw			
病关索杨雄	136.mesh	136a.Mtl	136a.Ani		S_HR	136aw			
拚命三郎石秀	023.mesh	023b.Mtl	023b.Ani		023b	WQ083g			
一丈青扈三娘	076.mesh	076a.Mtl	076a.Ani		S_HR	076_剑			
双枪将董平	067.mesh	067a.Mtl	067a.Ani		S_HR	067枪			
青面兽杨志	065.mesh	065a.Mtl	065a.Ani		S_HR	065刀			
霹雳火秦明	064b.mesh	064b.Mtl	064b.Ani						
神行太保戴宗	134.mesh	134a.Mtl	134a.Ani		S_HR	134aw			
母夜叉孙二娘	309.mesh	309.Mtl	309.Ani				S_LH	309w	
张青	303.mesh	303b.Mtl	303b.Ani						
尸王	321.mesh	321.Mtl	321.Ani						
小鸡	009.mesh	009a.Mtl	009a.Ani						
小鸭	011.mesh	011c.Mtl	011a.Ani						
小鹅	017.mesh	cri_017.Mtl	017.Ani						
小羊	008.mesh	008a.Mtl	008.Ani						
水浒道具	129.mesh	129.Mtl	030.Ani						
水浒开关	001.mesh	001a.Mtl	001a.Ani						
吴仁迪	138.mesh	138a.Mtl	138a.Ani						
小龙	long.Mesh	long.Mtl	long.Ani						
小凤	fenghuang.Mesh	fenghuang.Mtl	feng.Ani						
小虎	baihu.Mesh	baihu.Mtl	hu.Ani						
小鹰	ying.Mesh	ying.Mtl	ying.Ani						
中龙	long.Mesh	long.Mtl	long.Ani						
中凤	fenghuang.Mesh	fenghuang.Mtl	feng.Ani						
中虎	baihu.Mesh	baihu.Mtl	hu.Ani						
中鹰	ying.Mesh	ying.Mtl	ying.Ani						
大龙	long.Mesh	long.Mtl	long.Ani						
大凤	fenghuang.Mesh	fenghuang.Mtl	feng.Ani						
大虎	baihu.Mesh	baihu.Mtl	hu.Ani						
大鹰	ying.Mesh	ying.Mtl	ying.Ani						
BOSS龙	long.Mesh	long.Mtl	long.Ani						
BOSS凤	fenghuang.Mesh	fenghuang.Mtl	feng.Ani						
BOSS虎	baihu.Mesh	baihu.Mtl	hu.Ani						
BOSS鹰	ying.Mesh	ying.Mtl	ying.Ani						
德意宝贝	f1_wz_bd_mod006.Mesh	f1_wz_bd_mod006.mtl	414a.Ani						
桑巴宝贝	f1_wz_bd_mod006.Mesh	f1_wz_bd_mod006b.mtl	414a.Ani						
阿根宝贝	f1_wz_bd_mod006.Mesh	f1_wz_bd_mod006c.mtl	414a.Ani						
不列颠宝贝	f1_wz_bd_mod006.Mesh	f1_wz_bd_mod006d.mtl	414a.Ani						
比萨宝贝	f1_wz_bd_mod006.Mesh	f1_wz_bd_mod006e.mtl	414a.Ani						
爱菲尔宝贝	f2_wz_bd_mod006.mesh	f2_wz_bd_mod006f.mtl	414b.Ani						
风车宝贝	f2_wz_bd_mod006.mesh	f2_wz_bd_mod006g.mtl	414b.Ani						
斗牛宝贝	f2_wz_bd_mod006.mesh	f2_wz_bd_mod006h.mtl	414b.Ani						
葡国宝贝	f2_wz_bd_mod006.mesh	f2_wz_bd_mod006i.mtl	414b.Ani						
世界杯宠物1	man_jxw.Mesh	man_jxw.Mtl	415.Ani						
世界杯宠物2	man_jxw.Mesh	man_jxw.Mtl	415.Ani						
风筝蓝	huangfengzheng.Mesh	lanfengzheng.Mtl	416.Ani						
风筝红	huangfengzheng.Mesh	hongfengzheng.Mtl	416.Ani						
风筝黄	huangfengzheng.Mesh	huangfengzheng.Mtl	416.Ani						
风筝绿	huangfengzheng.Mesh	lvfengzheng.Mtl	416.Ani						
风筝七彩	huangfengzheng.Mesh	qicaifengzheng.Mtl	416.Ani						
水果树	shenqiguoshu.Mesh	shenqiguoshu.Mtl	shenqiguoshu.st.Ani						
四灵树1	SilingshuLv1.Mesh	SilingshuLv1.Mtl	SilingshuLv1.st.Ani						
四灵树2_1	SilingshuLv2.Mesh	SilingshuLv2.Mtl	SilingshuLv2.st.Ani						
四灵树2_2	SilingshuLv2.Mesh	SilingshuLv2.Mtl	SilingshuLv2.st.Ani						
四灵树3_1	SilingshuLv3.Mesh	SilingshuLv3.Mtl	SilingshuLv3.st.Ani						
四灵树3_2	SilingshuLv3.Mesh	SilingshuLv3.Mtl	SilingshuLv3.st.Ani						
四灵树4	SilingshuLv4.Mesh	SilingshuLv4.Mtl	SilingshuLv4.st.Ani						
齐天大圣	meihouwang1.Mesh	meihouwang1.Mtl	meihouwang1.Ani						
齐天大圣2	meihouwang2.Mesh	meihouwang2.Mtl	meihouwang2.Ani						
白金树	baijinshu.Mesh	baijinshu.Mtl	baijinshu.Ani						
火堆	huodui.Mesh	huodui.Mtl	huodui.Ani						
田地1	tian1.Mesh	tian1.Mtl	tian.Ani						
田地2	tian2.Mesh	tian2.Mtl	tian.Ani						
田地3	tian3.Mesh	tian3.Mtl	tian.Ani						
田地4	tian4.Mesh	tian4.Mtl	tian.Ani						
运粮车	yunliangche.Mesh	yunliangche.Mtl	yunliangche.Ani						
火船	doujian.Mesh	doujian.Mtl	doujian.Ani						
指挥船	zhihuichuan.Mesh	zhihuichuan.Mtl	zhihuichuan.Ani						
土狼王	074.mesh	074a.Mtl	074a.Ani						
青狼王	074.mesh	074b.Mtl	074b.Ani						
武当首席标准男	381.mesh	381.Mtl	381.Ani						
峨嵋首席性感女	374.mesh	374.Mtl	374.Ani						
五毒首席标准男	389.mesh	389.Mtl	389.Ani						
唐门首席标准男地	371.mesh	371.Mtl	371.Ani						
丐帮首席标准男	377.mesh	377.Mtl	377.Ani						
杨门首席娇小女	387.mesh	387.Mtl	387.Ani						
城门机关	城门机关.Mesh	城门机关.Mtl	城门机关.Ani						
红印教主	429.Mesh	429.Mtl	429.Ani						
东方不败	dongfangbubai.Mesh	dongfangbubai.Mtl	dongfangbubai.Ani						
蓝旗刺客	412.mesh	412蓝.Mtl	412蓝.Ani		S_HR	076_剑			
黄旗刺客	412.mesh	412黄.Mtl	412黄.Ani						
红旗刺客	412.mesh	412红.Mtl	412红.Ani		S_HR	双刀7b	S_HL	双刀7b	
白旗刺客	413.mesh	413白.Mtl	413白.Ani						
黑旗刺客	412.mesh	412黑.Mtl	412黑.Ani		S_HL	爪8a	S_HR	爪8a	
蓝旗旗主	322.mesh	322.Mtl	322.Ani						
黄旗旗主	170.mesh	170b.Mtl	170b.Ani		S_HR	170bw			
红旗旗主	170.mesh	170a.Mtl	170a.Ani		S_HR	170aw			
白旗旗主	077.mesh	077a.Mtl	077a.Ani		S_HR	剑			
黑旗旗主	319.mesh	319.Mtl	319.Ani		S_RH	319wr			
银剑	452.mesh	452.Mtl	452.Ani		S_HR	长剑8a			
小燕子信使	453.mesh	453.Mtl	453.Ani		S_HR	长剑7a			
隐形人	452.mesh	452.Mtl	452.Ani		S_HR	长剑8a			
李元旭	327.mesh	327.Mtl	327.Ani		S_RH	327w			
任盈盈	renyinyin.mesh	renyinyin.Mtl	renyinyin.Ani		S_HL	琴5a			
婉柔云	406.mesh	406.Mtl	406.Ani						
圣诞树	360.mesh	360.Mtl	a.Ani						
09大圣诞树	360.mesh	360.Mtl	a.Ani						
雪人	361.mesh	361.Mtl	a.Ani						
大红灯笼	362.mesh	362.Mtl	a.Ani						
红灯笼	362.mesh	362.Mtl	a.Ani						
小驯鹿	363.mesh	363.Mtl	363.Ani						
小金牛	364.mesh	364.Mtl	364.Ani						
圣诞大礼包	365.mesh	365.Mtl	a.Ani						
圣诞小礼包	365.mesh	365.Mtl	a.Ani						
红印教众1	449.mesh	449.Mtl	449.Ani		S_HR	076_剑			
红印教众2	450.mesh	450.Mtl	450.Ani		S_HR	076_剑			
红印教众3	451.mesh	451.Mtl	451.Ani		S_HR	076_剑			
少阳弟子1	366.mesh	366.Mtl	366.Ani		S_HR	长剑7a			
文史弟子1	367.mesh	367.Mtl	367.Ani		S_HR	长剑7a			
隐形人阿亮	452.mesh	452.Mtl	452.Ani		S_HR	长剑8a	S_HL	长剑8a	
真纳娜	454.mesh	454.Mtl	454.Ani		S_HR	076_剑			
少林首席标准男	368.mesh	368.Mtl	368.Ani						
少林首席魁梧男	369.mesh	369.Mtl	369.Ani						
唐门首席魁梧男	370.mesh	370.Mtl	370.Ani						
唐门首席标准男	371.mesh	371.Mtl	371.Ani						
唐门首席性感女	372.mesh	372.Mtl	372.Ani						
唐门首席娇小女	373.mesh	373.Mtl	373.Ani						
峨嵋首席娇小女	375.mesh	375.Mtl	375.Ani						
丐帮首席魁梧男	376.mesh	376.Mtl	376.Ani						
丐帮首席性感女	378.mesh	378.Mtl	378.Ani						
丐帮首席娇小女	379.mesh	379.Mtl	379.Ani						
武当首席魁梧男	380.mesh	380.Mtl	380.Ani						
武当首席性感女	382.mesh	382.Mtl	382.Ani						
武当首席娇小女	383.mesh	383.Mtl	383.Ani						
杨门首席魁梧男	384.mesh	384.Mtl	384.Ani						
杨门首席标准男	385.mesh	385.Mtl	385.Ani						
杨门首席性感女	386.mesh	386.Mtl	386.Ani						
五毒首席魁梧男	388.mesh	388.Mtl	388.Ani						
五毒首席性感女	390.mesh	390.Mtl	390.Ani						
五毒首席娇小女	391.mesh	391.Mtl	391.Ani						
昆仑首席标准男	392.mesh	392.Mtl	392.Ani						
昆仑首席魁梧男	393.mesh	393.Mtl	393.Ani						
明教首席魁梧男	394.mesh	394.Mtl	394.Ani						
明教首席标准男	395.mesh	395.Mtl	395.Ani						
明教首席性感女	396.mesh	396.Mtl	396.Ani						
明教首席娇小女	397.mesh	397.Mtl	397.Ani						
翠烟首席性感女	398.mesh	398.Mtl	398.Ani						
