Tªn ®¹o cô	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	D­îc hiÖu lµ thay ®æi hay xÕp chång lªn	Cã ph¶i PK d­îc	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	Thêi gian lµm l¹nh	ID d­îc hiÖu
Cöu ChuyÓn Tiªu Dao §¬n (Lùc Néi)	1	0	280	0	0	999											-1	\image\item\usable\Á¦ÄÚºÏ¼Áa1.spr	\image\item\usable\Á¦ÄÚºÏ¼Áa0.spr	Thuèc mËt chÕ, chØ ®Şnh dïng trong Vâ L©m §¹i Héi<enter><enter><color=gold>Thêi gian hiÖu qu¶: 30 phót <enter>Sau khi träng th­¬ng hiÖu qu¶ kh«ng mÊt ®i<enter><enter>Søc m¹nh t¨ng 50 ®iÓm<enter>Néi c«ng t¨ng 50 ®iÓm<enter><enter><color=red>Trong cïng mét thêi gian chØ cã thÓ tån t¹i hiÖu qu¶ 1 lo¹i thuèc, khi dïng sÏ thay thÕ hiÖu qu¶ thuèc th­êng.		Bİ D­îc-Cao	\script\item\feast.lua	5	0	1	5400	256
Cöu ChuyÓn Tiªu Dao §¬n (Néi C¨n)	1	0	281	0	0	999											-1	\image\item\usable\ÄÚ¸ùºÏ¼Áa1.spr	\image\item\usable\ÄÚ¸ùºÏ¼Áa0.spr	Thuèc mËt chÕ, chØ ®Şnh dïng trong Vâ L©m §¹i Héi<enter><enter><color=gold>Thêi gian hiÖu qu¶: 30 phót <enter>Sau khi träng th­¬ng hiÖu qu¶ kh«ng mÊt ®i<enter><enter>Néi c«ng t¨ng 50 ®iÓm<enter>G©n cèt t¨ng 50 ®iÓm<enter><enter><color=red>Trong cïng mét thêi gian chØ cã thÓ tån t¹i hiÖu qu¶ 1 lo¹i thuèc, khi dïng sÏ thay thÕ hiÖu qu¶ thuèc th­êng.		Bİ D­îc-Cao	\script\item\feast.lua	5	0	1	5400	256
Cöu ChuyÓn Tiªu Dao §¬n (Néi Th©n)	1	0	282	0	0	999											-1	\image\item\usable\ÄÚÉíºÏ¼Áa1.spr	\image\item\usable\ÄÚÉíºÏ¼Áa0.spr	Thuèc mËt chÕ, chØ ®Şnh dïng trong Vâ L©m §¹i Héi<enter><enter><color=gold>Thêi gian hiÖu qu¶: 30 phót <enter>Sau khi träng th­¬ng hiÖu qu¶ kh«ng mÊt ®i<enter><enter>Néi c«ng t¨ng 50 ®iÓm<enter>Th©n ph¸p t¨ng 50 ®iÓm<enter><enter><color=red>Trong cïng mét thêi gian chØ cã thÓ tån t¹i hiÖu qu¶ 1 lo¹i thuèc, khi dïng sÏ thay thÕ hiÖu qu¶ thuèc th­êng.		Bİ D­îc-Cao	\script\item\feast.lua	5	0	1	5400	256
Cöu ChuyÓn Tiªu Dao §¬n (Néi §éng)	1	0	283	0	0	999											-1	\image\item\usable\ÄÚ¶´ºÏ¼Áa1.spr	\image\item\usable\ÄÚ¶´ºÏ¼Áa0.spr	Thuèc mËt chÕ, chØ ®Şnh dïng trong Vâ L©m §¹i Héi<enter><enter><color=gold>Thêi gian hiÖu qu¶: 30 phót <enter>Sau khi träng th­¬ng hiÖu qu¶ kh«ng mÊt ®i<enter><enter>Néi c«ng t¨ng 50 ®iÓm<enter>Linh ho¹t t¨ng 50 ®iÓm<enter><enter><color=red>Trong cïng mét thêi gian chØ cã thÓ tån t¹i hiÖu qu¶ 1 lo¹i thuèc, khi dïng sÏ thay thÕ hiÖu qu¶ thuèc th­êng.		Bİ D­îc-Cao	\script\item\feast.lua	5	0	1	5400	256
Cöu ChuyÓn Tiªu Dao §¬n (Th©n C¨n)	1	0	284	0	0	999											-1	\image\item\usable\Éí¸ùºÏ¼Áa1.spr	\image\item\usable\Éí¸ùºÏ¼Áa0.spr	Thuèc mËt chÕ, chØ ®Şnh dïng trong Vâ L©m §¹i Héi<enter><enter><color=gold>Thêi gian hiÖu qu¶: 30 phót <enter>Sau khi träng th­¬ng hiÖu qu¶ kh«ng mÊt ®i<enter><enter>Th©n ph¸p t¨ng 50 ®iÓm<enter>G©n cèt t¨ng 50 ®iÓm<enter><enter><color=red>Trong cïng mét thêi gian chØ cã thÓ tån t¹i hiÖu qu¶ 1 lo¹i thuèc, khi dïng sÏ thay thÕ hiÖu qu¶ thuèc th­êng.		Bİ D­îc-Cao	\script\item\feast.lua	5	0	1	5400	256
Cöu ChuyÓn Tiªu Dao §¬n (Th©n §éng)	1	0	285	0	0	999											-1	\image\item\usable\Éí¶´ºÏ¼Áa1.spr	\image\item\usable\Éí¶´ºÏ¼Áa0.spr	Thuèc mËt chÕ, chØ ®Şnh dïng trong Vâ L©m §¹i Héi<enter><enter><color=gold>Thêi gian hiÖu qu¶: 30 phót <enter>Sau khi träng th­¬ng hiÖu qu¶ kh«ng mÊt ®i<enter><enter>Th©n ph¸p t¨ng 50 ®iÓm<enter>Linh ho¹t t¨ng 50 ®iÓm<enter><enter><color=red>Trong cïng mét thêi gian chØ cã thÓ tån t¹i hiÖu qu¶ 1 lo¹i thuèc, khi dïng sÏ thay thÕ hiÖu qu¶ thuèc th­êng.		Bİ D­îc-Cao	\script\item\feast.lua	5	0	1	5400	256
Cöu ChuyÓn Tiªu Dao §¬n (§éng C¨n)	1	0	286	0	0	999											-1	\image\item\usable\¶´¸ùºÏ¼Áa1.spr	\image\item\usable\¶´¸ùºÏ¼Áa0.spr	Thuèc mËt chÕ, chØ ®Şnh dïng trong Vâ L©m §¹i Héi<enter><enter><color=gold>Thêi gian hiÖu qu¶: 30 phót <enter>Sau khi träng th­¬ng hiÖu qu¶ kh«ng mÊt ®i<enter><enter>Linh ho¹t t¨ng 50 ®iÓm<enter>G©n cèt t¨ng 50 ®iÓm<enter><enter><color=red>Trong cïng mét thêi gian chØ cã thÓ tån t¹i hiÖu qu¶ 1 lo¹i thuèc, khi dïng sÏ thay thÕ hiÖu qu¶ thuèc th­êng.		Bİ D­îc-Cao	\script\item\feast.lua	5	0	1	5400	256
Cöu ChuyÓn Tiªu Dao §¬n (Lùc C¨n)	1	0	287	0	0	999											-1	\image\item\usable\Á¦¸ùºÏ¼Áa1.spr	\image\item\usable\Á¦¸ùºÏ¼Áa0.spr	Thuèc mËt chÕ, chØ ®Şnh dïng trong Vâ L©m §¹i Héi<enter><enter><color=gold>Thêi gian hiÖu qu¶: 30 phót <enter>Sau khi träng th­¬ng hiÖu qu¶ kh«ng mÊt ®i<enter><enter>Søc m¹nh t¨ng 50 ®iÓm<enter>G©n cèt t¨ng 50 ®iÓm<enter><enter><color=red>Trong cïng mét thêi gian chØ cã thÓ tån t¹i hiÖu qu¶ 1 lo¹i thuèc, khi dïng sÏ thay thÕ hiÖu qu¶ thuèc th­êng.		Bİ D­îc-Cao	\script\item\feast.lua	5	0	1	5400	256
Cöu ChuyÓn Tiªu Dao §¬n (Lùc Th©n)	1	0	288	0	0	999											-1	\image\item\usable\Á¦ÉíºÏ¼Áa1.spr	\image\item\usable\Á¦ÉíºÏ¼Áa0.spr	Thuèc mËt chÕ, chØ ®Şnh dïng trong Vâ L©m §¹i Héi<enter><enter><color=gold>Thêi gian hiÖu qu¶: 30 phót <enter>Sau khi träng th­¬ng hiÖu qu¶ kh«ng mÊt ®i<enter><enter>Søc m¹nh t¨ng 50 ®iÓm<enter>Th©n ph¸p t¨ng 50 ®iÓm<enter><enter><color=red>Trong cïng mét thêi gian chØ cã thÓ tån t¹i hiÖu qu¶ 1 lo¹i thuèc, khi dïng sÏ thay thÕ hiÖu qu¶ thuèc th­êng.		Bİ D­îc-Cao	\script\item\feast.lua	5	0	1	5400	256
B¹ch V©n t¸n	1	0	30001	0	0	999	state_life_restore_per8f	75			state_life_per_per8f	300			20	1	-1	\image\item\usable\heal_004a1.spr	\image\item\usable\heal_004a0.spr	§­îc tinh chÕ tõ th¶o d­îc vïng Trung Nguyªn vµ nguån n­íc suèi tinh khiÕt, trŞ th­¬ng h÷u hiÖu.		D­îc phÈm		3	2	1	3240	199
§¹i Hoµn ®¬n	1	0	30002	0	0	999	state_neili_restore_per8f	1			state_neili_per_per8f	300			30	1	-1	\image\item\usable\heal_009a1.spr	\image\item\usable\heal_009a0.spr	T¨ng c«ng lùc, nhanh chãng phôc håi néi lùc.		D­îc phÈm		3	2	1	1080	198
Thiªn M«n Hång D­îc	1	0	30003	0	0	99	state_life_per_per8f	400			state_life_per_per8f	400			10			\image\item\usable\Ê¦ÃÅÃØÒ©£¨Á¦Á¿£©a1.spr	\image\item\usable\Ê¦ÃÅÃØÒ©£¨Á¦Á¿£©a0.spr	Cã thÓ sö dông t¹i V¹n KiÕm Tròng, Th«ng Thiªn HuyÔn C¶nh, L­¬ng S¬n, §Şa HuyÒn Cung, Th¸i H­ HuyÔn C¶nh		D­îc phÈm	\script\missions\mission_item\item_tianmen_medicine.lua	2	2	1	3240	199
Thiªn M«n Lam D­îc	1	0	30004	0	0	99	state_neili_per_per8f	400			state_neili_per_per8f	400			10			\image\item\usable\Ê¦ÃÅÃØÒ©£¨ÄÚ¹¦£©a1.spr	\image\item\usable\Ê¦ÃÅÃØÒ©£¨ÄÚ¹¦£©a0.spr	Cã thÓ sö dông t¹i V¹n KiÕm Tròng, Th«ng Thiªn HuyÔn C¶nh, L­¬ng S¬n, §Şa HuyÒn Cung, Th¸i H­ HuyÔn C¶nh		D­îc phÈm	\script\missions\mission_item\item_tianmen_medicine.lua	2	2	1	1080	198
