Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã thÓ giao dŞch hay kh«ng ( 0 cã thÓ giao dŞch, cã thÓ b¸n; 1 kh«ng thÓ giao dŞch kh«ng thÓ b¸n; 2 cã thÓ b¸n, kh«ng thÓ giao dŞch; 3 kh«ng thÓ b¸n, cã thÓ giao dŞch; 4 cã thÓ b¸n, sau khi mang vµo sÏ bŞ khãa)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	B¶o l­u 1	B¶o l­u 2	B¶o l­u 3	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
§én Gi¸p Th­	2	2	29	0	3	999												\image\item\other\slife_001a1.spr	\image\item\other\slife_001a0.spr	S¸ch ghi chĞp c¸ch chÕ phï cña Tr­¬ng Thiªn S­ ë Long Hæ s¬n ®Ó chÕ t¹o c¸c lo¹i kú phï.		Sinh ho¹t		3									
Chu sa	2	2	30	0	1	999												\image\item\other\fulife_001a1.spr	\image\item\other\fulife_001a0.spr	Lo¹i Chu Sa cã ë §ång huyÖt Thôc s¬n mang linh lùc, dïng chÕ t¹o c¸c lo¹i ®¹o phï.		Sinh ho¹t		1									
§¬n T©m sa	2	2	31	0	2	999												\image\item\other\fulife_002a1.spr	\image\item\other\fulife_002a0.spr	Lo¹i Chu Sa hÊp thu uy linh dòng sÜ mang linh lùc m¹nh mÏ, dïng chÕ t¹o c¸c lo¹i ®¹o phï.		Sinh ho¹t		2									
Bİch HuyÕt Sa	2	2	32	0	3	999												\image\item\other\fulife_003a1.spr	\image\item\other\fulife_003a0.spr	§­îc t¹o nªn tõ Linh HuyÕt cña c¸c tiªn nh©n mang linh lùc v« song, dïng chÕ t¹o c¸c lo¹i ®¹o phï.		Sinh ho¹t		3									
Thiªn Linh Sa	2	2	106	0	10	999												\image\item\other\fulife_003a1.spr	\image\item\other\fulife_003a0.spr	Lo¹i c¸t hiÕm cã, dïng ®Ó vÏ bïa.		Sinh ho¹t		9									
H¾c KhuyÓn Linh HuyÕt	2	2	33	0	1	999												\image\item\other\fulife_004a1.spr	\image\item\other\fulife_004a0.spr	Linh huyÕt cña h¾c cÈu míi sinh, cã thÓ trõ tµ ®uæi yªu, dïng chÕ t¹o ®¹o phï.		Sinh ho¹t		1									
Thanh ¤ Linh HuyÕt	2	2	34	0	2	999												\image\item\other\fulife_005a1.spr	\image\item\other\fulife_005a0.spr	Linh huyÕt cña tam tóc thanh « ë C«n L«n s¬n dïng chÕ t¹o c¸c lo¹i ®¹o phï uy lùc m¹nh mÏ.		Sinh ho¹t		2									
HuyÒn H¹c Linh HuyÕt	2	2	35	0	3	999												\image\item\other\fulife_006a1.spr	\image\item\other\fulife_006a0.spr	LÊy tõ m¸u t­¬i cña b¹ch h¹c ngµn n¨m biÕn hãa thµnh h¾c h¹c, dïng chÕ t¹o c¸c lo¹i ®¹o phï thÇn kú.		Sinh ho¹t		3									
§Şa Long HuyÕt	2	2	107	0	10	999												\image\item\other\fulife_006a1.spr	\image\item\other\fulife_006a0.spr	Thùc ra lµ chÊt láng héi tô linh khİ mµ thµnh, dïng ®Ó vÏ bïa.		Sinh ho¹t		10									
Thiªn Niªn §µo Méc	2	2	108	0	10	999												\image\item\other\orwood_008a1.spr	\image\item\other\orwood_008a0.spr	Gç ®µo tİch tô linh khİ v« cïng hiÕm cã, dïng ®Ó chÕ thÎ bïa v« cïng linh nghiÖm.		Sinh ho¹t											
UÉn Linh Hµo	2	2	109	0	10	999												\image\item\other\coll_001a1.spr	\image\item\other\coll_001a0.spr	Dïng ®Ó t¹o bót l«ng, rÊt nhiÒu linh khİ, nh­ng ®¸ng tiÕc chØ dïng mét lÇn lµ hÕt linh khİ.		Sinh ho¹t											
Da hæ tr¾ng	2	2	19	0	5	999												\image\item\other\skin_005a1.spr	\image\item\other\skin_005a0.spr	Lo¹i Da hæ cã søc phßng ngù cùc lín, vËt liÖu quı hiÕm chÕ t¹o dông cô phßng vÖ.		Sinh ho¹t		5									
§u«i thá	2	1	2	1	8	999												\image\item\other\coll_002a1.spr	\image\item\other\coll_002a0.spr	§u«i thá nhá, l«ng m­ît mÒm m¹i nh­ nhung.		Thu thËp		1	2	1							
R¨ng sãi	2	1	3	1	8	999												\image\item\other\coll_003a1.spr	\image\item\other\coll_003a0.spr	V« cïng s¾c nhän, cã thÓ thay thÕ vò khİ.		Thu thËp		1									
Thè Nhi Qu¶	2	1	4	1	10	999												\image\item\other\coll_004a1.spr	\image\item\other\coll_004a0.spr	Mét lo¹i qu¶ d¹i thá rÊt thİch ¨n.		Thu thËp		1									
L«ng sãi	2	1	5	1	10	999												\image\item\other\coll_001a1.spr	\image\item\other\coll_001a0.spr	Dïng ®Ó lµm bót l«ng.		Thu thËp		1									
No·n trïng	2	1	6	1	10	999												\image\item\other\coll_006a1.spr	\image\item\other\coll_006a0.spr	Cã thÓ në thµnh Êu trïng.		Thu thËp		1									
Nanh heo rõng	2	1	7	1	10	999												\image\item\other\coll_007a1.spr	\image\item\other\coll_007a0.spr	Cã thÓ dïng lµm trang søc.		Thu thËp		1									
L«ng sãi th­îng ®¼ng	2	1	8	1	10	999												\image\item\other\coll_001a1.spr	\image\item\other\coll_001a0.spr	Dïng ®Ó lµm bót l«ng.		Thu thËp		1									
VÊn Lé th¹ch	2	1	9	1	10	999												\image\item\other\coll_009a1.spr	\image\item\other\coll_009a0.spr	Lo¹i ®¸ ban ®ªm ph¸t s¸ng.		Thu thËp		1									
ThiÕt Ban ChØ	2	1	10	1	10	999												\image\item\other\coll_010a1.spr	\image\item\other\coll_010a0.spr	C¸c cung thñ th­êng sö dông		Thu thËp		1									
Tó hoa hµi	2	1	11	1	10	999												\image\item\other\coll_011a1.spr	\image\item\other\coll_011a0.spr	C¸c thiÕu n÷ th­êng mang, trªn cã g¾n nhiÒu hoa nhá.		Thu thËp		1									
Thiªu töu	2	1	12	1	10	999												\image\item\other\coll_012a1.spr	\image\item\other\coll_012a0.spr	Lo¹i r­îu b×nh d©n, rÊt dÔ mua		Thu thËp		1									
Tæ ong	2	1	13	1	14	999												\image\item\other\coll_013a1.spr	\image\item\other\coll_013a0.spr	Bªn trong cã chøa nhiÒu mËt.		Thu thËp		1									
Nanh heo th­îng h¹ng	2	1	14	1	14	999												\image\item\other\coll_007a1.spr	\image\item\other\coll_007a0.spr	Cã thÓ dïng lµm trang søc.		Thu thËp		1									
GÊm lam	2	1	15	1	14	999												\image\item\other\coll_015a1.spr	\image\item\other\coll_015a0.spr	Lo¹i lôa quı hiÕm, ngh×n vµng khã mua!		Thu thËp		1									
HÇu Nhi Qu¶	2	1	16	1	14	999												\image\item\other\coll_004a1.spr	\image\item\other\coll_004a0.spr	Mïi vŞ th¬m ngät, thùc phÈm yªu thİch cña h¾c hÇu		Thu thËp		1									
Thanh Kim	2	1	17	1	14	999												\image\item\other\coll_017a1.spr	\image\item\other\coll_017a0.spr	Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
C¸nh d¬i	2	1	18	1	14	999												\image\item\other\coll_018a1.spr	\image\item\other\coll_018a0.spr	Cã thÓ chÕ t¹o ®éc d­îc		Thu thËp		1									
Hæ vÜ	2	1	19	1	14	999												\image\item\other\coll_019a1.spr	\image\item\other\coll_019a0.spr	§u«i hæ tr¨m tuæi, cùc kú quı hiÕm.		Thu thËp		1									
ThiÕt Th­¬ng §Çu	2	1	20	1	14	999												\image\item\other\coll_020a1.spr	\image\item\other\coll_020a0.spr	Lo¹i th­¬ng th«ng th­êng, rÊt dÔ mua.		Thu thËp		1									
Bao ®ao	2	1	21	1	14	999												\image\item\other\coll_021a1.spr	\image\item\other\coll_021a0.spr	§­îc lµm tõ da thó, cùc kú bÒn ch¾c.		Thu thËp		1									
TuyÕt Tinh	2	1	22	1	14	999												\image\item\other\coll_022a1.spr	\image\item\other\coll_022a0.spr	Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
Thèi Cèt	2	1	23	1	14	999												\image\item\other\coll_023a1.spr	\image\item\other\coll_023a0.spr	M¶nh x­¬ng l©u n¨m		Thu thËp		1									
S­u ThÇn Kı	2	1	24	1	14	999												\image\item\other\coll_024a1.spr	\image\item\other\coll_024a0.spr	§­îc l­u l¹i tõ thêi §«ng TÊn, bªn trong cã ghi chĞp nhiÒu ®iÒu bİ Èn.		Thu thËp		1									
Gi¸p Méc Bµi	2	1	25	1	16	999												\image\item\other\coll_025a1.spr	\image\item\other\coll_025a0.spr	Trªn cã kh¾c hoa v¨n, kı hiÖu kú qu¸i.		Thu thËp		1									
¸m Yªn	2	1	26	1	16	999												\image\item\other\coll_026a1.spr	\image\item\other\coll_026a0.spr	Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
¢m Ph¸ch	2	1	27	1	16	999												\image\item\other\coll_027a1.spr	\image\item\other\coll_027a0.spr	Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
Trøng chim	2	1	28	1	16	999												\image\item\other\coll_028a1.spr	\image\item\other\coll_028a0.spr	Cã thÓ në thanh chim non		Thu thËp		1									
B¶o B×nh	2	1	29	1	16	999												\image\item\other\coll_029a1.spr	\image\item\other\coll_029a0.spr	Lo¹i b×nh cæ x­a, cã thÓ ®æi ng©n l­îng.		Thu thËp		1									
§ång kiÕm	2	1	30	1	16	999												\image\item\other\coll_030a1.spr	\image\item\other\coll_030a0.spr	Lo¹i kiÕm th«ng th­êng, rÊt dÔ mua.		Thu thËp		1									
Méc Thñ	2	1	31	1	16	999												\image\item\other\coll_031a1.spr	\image\item\other\coll_031a0.spr	Tay méc nh©n, Èn giÊu nhiÒu ¸m khİ.		Thu thËp		1									
Hång Tinh	2	1	32	1	16	999												\image\item\other\coll_032a1.spr	\image\item\other\coll_032a0.spr	Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
Êt Méc Bµi	2	1	33	1	16	999												\image\item\other\coll_033a1.spr	\image\item\other\coll_033a0.spr	Trªn cã kh¾c hoa v¨n, kı hiÖu kú qu¸i.		Thu thËp		1									
Quan phôc	2	1	34	1	16	999												\image\item\other\coll_034a1.spr	\image\item\other\coll_034a0.spr	Trang phôc cña quan l¹i Cöu phÈm tuÇn tra		Thu thËp		1									
B¸nh n­íng	2	1	35	1	16	999												\image\item\other\coll_035a1.spr	\image\item\other\coll_035a0.spr	Mïi vŞ th¬m ngon hÊp dÉn.		Thu thËp		1									
Gia Ph¸p bæng	2	1	36	1	16	999												\image\item\other\coll_036a1.spr	\image\item\other\coll_036a0.spr	Lo¹i bæng dïng trõng trŞ gia ph¸p, khi ®¸nh lµm bong trãc da thŞt.		Thu thËp		1									
Lang Hån	2	1	37	1	16	999												\image\item\other\coll_037a1.spr	\image\item\other\coll_037a0.spr	Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
Hµng hãa	2	1	38	1	16	999												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	Tói hµng hãa cña c¸c th­¬ng gia khi vËn chuyÓn.		Thu thËp		1									
D¹ Minh Ch©u	2	1	39	1	16	999												\image\item\other\coll_039a1.spr	\image\item\other\coll_039a0.spr	Kú tr©n dŞ b¶o, ngµn vµng khã mua.		Thu thËp		1									
Th­¬ng g·y	2	1	40	1	16	999												\image\item\other\coll_040a1.spr	\image\item\other\coll_040a0.spr	§Çu mòi th­¬ng bŞ chÆt ®øt		Thu thËp		1									
Kim Thoa	2	1	41	1	16	999												\image\item\other\coll_041a1.spr	\image\item\other\coll_041a0.spr	ThiÕu n÷ vïng Giang Nam võa lµm trang trang søc võa lµm vò khİ.		Thu thËp		1									
MiÕng ®ång	2	1	42	1	16	999												\image\item\other\coll_042a1.spr	\image\item\other\coll_042a0.spr	M¶nh ®ång vµng ãng cùc nÆng.		Thu thËp		1									
Th¶o hµi	2	1	43	1	16	999												\image\item\other\coll_043a1.spr	\image\item\other\coll_043a0.spr	§­îc kÕt b»ng cá, tr«ng méc m¹c nh­ng cùc kú bÒn ch¾c.		Thu thËp		1									
Töu B«i	2	1	44	1	16	999												\image\item\other\coll_044a1.spr	\image\item\other\coll_044a0.spr	Gi¸ trŞ liªn thµnh, ngµn vµng khã mua.		Thu thËp		1									
TuyÕt Ph¸ch	2	1	45	1	17	999												\image\item\other\coll_045a1.spr	\image\item\other\coll_045a0.spr	Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
Bİnh Méc Bµi	2	1	46	1	17	999												\image\item\other\coll_046a1.spr	\image\item\other\coll_046a0.spr	Trªn cã kh¾c hoa v¨n, kı hiÖu kú qu¸i.		Thu thËp		1									
ThiÕt Xoa	2	1	47	1	17	999												\image\item\other\coll_047a1.spr	\image\item\other\coll_047a0.spr	Lo¹i thiÕt xoa cã mòi cøng, c¸n to, bÒ mÆt thĞp cã nhiÒu lç.		Thu thËp		1									
§u«i Hæ vµng	2	1	48	1	17	999												\image\item\other\coll_019a1.spr	\image\item\other\coll_019a0.spr	V× t×m ®u«i Hoµng Hæ V­¬ng, nhiÒu thî s¨n ®· mÊt m¹ng.		Thu thËp		1									
ThÇn Ma chİ	2	1	49	1	17	999												\image\item\other\coll_049a1.spr	\image\item\other\coll_049a0.spr	Khi HËu H¸n ®¹o s­ Tr­¬ng §¹o L¨ng tho¸i Èn B¾c Mang s¬n ®· ghi l¹i v« sè ®Æc tİnh vµ h×nh d¸ng cña yªu vËt.		Thu thËp		1									
Thñ Cèt	2	1	50	1	17	999												\image\item\other\coll_050a1.spr	\image\item\other\coll_050a0.spr	Cã thÓ tinh chÕ ph¸p khİ		Thu thËp		1									
U Hån	2	1	51	1	17	999												\image\item\other\coll_051a1.spr	\image\item\other\coll_051a0.spr	Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
Tr·m Töu	2	1	52	1	17	999												\image\item\other\coll_052a1.spr	\image\item\other\coll_052a0.spr	L«ng cña mét loµi chim ®éc ng©m r­îu, uèng vµo cã thÓ chÕt ngay.		Thu thËp		1									
Di T¾c Chung	2	1	53	1	17	999												\image\item\other\coll_053a1.spr	\image\item\other\coll_053a0.spr	Mét lo¹i chu«ng ®ång cæ x­a, ©m thanh cã thÓ vang xa ngµn dÆm.		Thu thËp		1									
GÊm vµng	2	1	54	1	17	999												\image\item\other\coll_054a1.spr	\image\item\other\coll_054a0.spr	Lo¹i lôa quı hiÕm, ngh×n vµng khã mua 		Thu thËp		1									
B×nh trµ	2	1	55	1	17	999												\image\item\other\coll_055a1.spr	\image\item\other\coll_055a0.spr	KiÓu d¸ng cæ x­a, ng­êi NhËt th­êng dïng ®Ó pha trµ.		Thu thËp		1									
C«ng V¨n	2	1	56	1	17	999												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	ChiÕu th­ triÒu ®×nh ®­a xuèng c¸c nha m«n, bªn trong chøa nhiÒu tin tøc quan träng.		Thu thËp		1									
Hép trang søc	2	1	57	1	17	999												\image\item\other\coll_057a1.spr	\image\item\other\coll_057a0.spr	Hép trang søc phô n÷, ®«i khi ®­îc dïng ®Ó chøa nh÷ng vËt phÈm quı.		Thu thËp		1									
C¸nh d¬i	2	1	58	1	17	999												\image\item\other\coll_018a1.spr	\image\item\other\coll_018a0.spr	Cã thÓ tinh chÕ ®¬n d­îc dïng ®Ó trŞ ®éc.		Thu thËp		1									
§inh Méc Bµi	2	1	59	1	17	999												\image\item\other\coll_059a1.spr	\image\item\other\coll_059a0.spr	Trªn cã kh¾c hoa v¨n, kı hiÖu kú qu¸i.		Thu thËp		1									
BÇu r­îu da dª	2	1	60	1	17	999												\image\item\other\coll_060a1.spr	\image\item\other\coll_060a0.spr	C¸c d©n téc phİa b¾c Tr­êng Thµnh dïng ®Ó chøa r­îu.		Thu thËp		1									
D©y xİch	2	1	61	1	17	999												\image\item\other\coll_061a1.spr	\image\item\other\coll_061a0.spr	Trang bŞ khİ giíi chuyªn dông cña cao thñ Lôc PhiÕn M«n, dïng ®Ó trãi träng ph¹m.		Thu thËp		1									
Lôc Ph¸ch	2	1	62	1	18	999												\image\item\other\coll_062a1.spr	\image\item\other\coll_062a0.spr	Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
Mãc C©u	2	1	63	1	18	999												\image\item\other\coll_063a1.spr	\image\item\other\coll_063a0.spr	Lo¹i mãc cña nh©n sÜ vâ l©m dïng ®Ó leo lªn c¸c dèc cao.		Thu thËp		1									
MËu Méc Bµi	2	1	64	1	18	999												\image\item\other\coll_064a1.spr	\image\item\other\coll_064a0.spr	Trªn cã kh¾c hoa v¨n, kı hiÖu kú qu¸i.		Thu thËp		1									
BÇu r­îu da dª	2	1	65	1	18	999												\image\item\other\coll_060a1.spr	\image\item\other\coll_060a0.spr	C¸c d©n téc phİa b¾c Tr­êng Thµnh dïng ®Ó chøa r­îu.		Thu thËp		1									
Kû Méc Bµi	2	1	66	1	18	999												\image\item\other\coll_066a1.spr	\image\item\other\coll_066a0.spr	Trªn cã kh¾c hoa v¨n, kı hiÖu kú qu¸i.		Thu thËp		1									
§¹i Tèng ®Şa chİ	2	1	67	1	18	999												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Ghi chĞp tû mØ vÒ nói s«ng, cöa ¶i, s«ng ngßi vµ ®Şa h×nh cña §¹i Tèng.		Thu thËp		1									
Ch©m cøu ®ång nh©n	2	1	68	1	18	999												\image\item\other\coll_068a1.spr	\image\item\other\coll_068a0.spr	Lîi dông thuËt ch©m cøu ®Ó chÕ t¹o §ång nh©n, cã thÓ phãng ra thñy ng©n kŞch ®éc.		Thu thËp		1									
Hoµng Kim Ban ChØ	2	1	69	1	18	999												\image\item\other\coll_069a1.spr	\image\item\other\coll_069a0.spr	Lo¹i ban chØ lµm b»ng vµng s¸ng chãi.		Thu thËp		1									
Canh Méc Bµi	2	1	70	1	18	999												\image\item\other\coll_070a1.spr	\image\item\other\coll_070a0.spr	Trªn cã kh¾c hoa v¨n, kı hiÖu kú qu¸i.		Thu thËp		1									
ThiÕt B¸t Qu¸i	2	1	71	1	18	999												\image\item\other\coll_071a1.spr	\image\item\other\coll_071a0.spr	Cã mµu ®en, ®­îc treo b»ng chØ t¬, dïng ®Ó luyÖn ch­ëng lùc.		Thu thËp		1									
Ên Th¹ch	2	1	72	1	18	999												\image\item\other\coll_072a1.spr	\image\item\other\coll_072a0.spr	Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
§inh Ba	2	1	73	1	18	999												\image\item\other\coll_073a1.spr	\image\item\other\coll_073a0.spr	Cã thÓ lµm vò khİ phßng th©n.		Thu thËp		1									
Bao tay Da h­¬u	2	1	74	1	18	999												\image\item\other\coll_074a1.spr	\image\item\other\coll_074a0.spr	Lo¹i bao tay b¶o vÖ cùc tèt.		Thu thËp		1									
Môc L«i V¨n §ao	2	1	75	1	18	999												\image\item\other\coll_075a1.spr	\image\item\other\coll_075a0.spr	§ao ®ång cã h×nh d¸ng cæ x­a, ®­îc xem nh­ cæ vËt h¬n lµ dïng lµm vò khİ.		Thu thËp		1									
MÉu §¬n	2	1	76	1	18	999												\image\item\other\coll_076a1.spr	\image\item\other\coll_076a0.spr	§­îc mÖnh danh lµ B¸ch Hoa V­¬ng, táa h­¬ng th¬m khiÕn lßng ng­êi ngÊt ng©y.		Thu thËp		1									
T©n Méc Bµi	2	1	77	1	18	999												\image\item\other\coll_077a1.spr	\image\item\other\coll_077a0.spr	Trªn cã kh¾c hoa v¨n, kı hiÖu kú qu¸i.		Thu thËp		1									
Hïng V¨n	2	1	78	1	18	999												\image\item\other\coll_078a1.spr	\image\item\other\coll_078a0.spr	Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
Kim Xøng Xµ	2	1	79	1	18	999												\image\item\other\coll_079a1.spr	\image\item\other\coll_079a0.spr	Qu¶ c©n cña s¬n tr¹i tr¹i chñ dïng ®Ó ph©n chia tÆng vËt.		Thu thËp		1									
KiÕm Hån	2	1	80	1	18	999												\image\item\other\coll_080a1.spr	\image\item\other\coll_080a0.spr	Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
B¹ch V©n b«i	2	1	81	1	18	999												\image\item\other\coll_081a1.spr	\image\item\other\coll_081a0.spr	Ly cæ ®­îc lµm tõ B¹ch Ngäc, ®¸y ly cã h×nh rång nhá, ®­îc dïng ®Ó th­ëng thøc mü töu.		Thu thËp		1									
Quy Hoa Kİnh	2	1	82	1	18	999												\image\item\other\coll_082a1.spr	\image\item\other\coll_082a0.spr	Lµ tÊm kİnh cæ, trªn l­ng kİnh kh¾c hoa v¨n b¸t qu¸i ®Çy bİ Èn.		Thu thËp		1									
Nh©m Méc Bµi	2	1	83	1	18	999												\image\item\other\coll_083a1.spr	\image\item\other\coll_083a0.spr	Trªn cã kh¾c hoa v¨n, kı hiÖu kú qu¸i.		Thu thËp		1									
Hæ Ph¸ch	2	1	84	1	18	999												\image\item\other\coll_084a1.spr	\image\item\other\coll_084a0.spr	Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
Quı Méc Bµi	2	1	85	1	18	999												\image\item\other\coll_085a1.spr	\image\item\other\coll_085a0.spr	Trªn cã kh¾c hoa v¨n, kı hiÖu kú qu¸i.		Thu thËp		1									
Kim Cang	2	1	86	1	18	999												\image\item\other\coll_086a1.spr	\image\item\other\coll_086a0.spr	Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
Ngäc Nh­ ı	2	1	87	1	18	999												\image\item\other\coll_087a1.spr	\image\item\other\coll_087a0.spr	Mang vµo sÏ khiÕn t©m tİnh hiÒn hßa.		Thu thËp		1									
B×nh Ngäc	2	1	88	1	18	999												\image\item\other\coll_088a1.spr	\image\item\other\coll_088a0.spr	§­îc lµm tõ b¹ch ngäc, kiÓu d¸ng cæ x­a v« cïng trang nh·.		Thu thËp		1									
Tª Ng­u Cung	2	1	89	1	18	999												\image\item\other\coll_089a1.spr	\image\item\other\coll_089a0.spr	§­îc lµm b»ng sõng tª gi¸c, trªn cã kh¶m n¹m ngò th¹ch cùc kú quı hiÕm.		Thu thËp		1									
NhÉn Hé PhËt	2	1	90	1	18	999												\image\item\other\coll_090a1.spr	\image\item\other\coll_090a0.spr	Cã thÓ kh¾c chÕ ®­îc tµ t©m.		Thu thËp		1									
Lôc Trô	2	1	91	1	18	999												\image\item\other\coll_091a1.spr	\image\item\other\coll_091a0.spr	Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
Quû Hån	2	1	92	1	20	999												\image\item\other\coll_092a1.spr	\image\item\other\coll_092a0.spr	Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
Vßng B¹ch Ngäc	2	1	93	1	20	999												\image\item\other\coll_093a1.spr	\image\item\other\coll_093a0.spr	B¹ch ngäc ngµn n¨m, ngµn vµng khã mua.		Thu thËp		1									
Tµ PhËt Ban ChØ	2	1	94	1	20	999												\image\item\other\coll_094a1.spr	\image\item\other\coll_094a0.spr	C¸c cao t¨ng th­êng ®eo ®Ó trõ tµ ma.		Thu thËp		1									
TuyÕt Hoa Giíi C¬	2	1	95	1	20	999												\image\item\other\coll_095a1.spr	\image\item\other\coll_095a0.spr	ChÕ t¹o b»ng thĞp rÊt nÆng, ®­îc c¸c t¨ng l÷ hay dïng.		Thu thËp		1									
ChØ Nam Ng­	2	1	96	1	20	999												\image\item\other\coll_096a1.spr	\image\item\other\coll_096a0.spr	Nung ®á kim thĞp råi lÊy n­íc xèi nguéi, ®Æt vµo n­íc cã thÓ chØ ®­îc ph­¬ng h­íng.		Thu thËp		1									
Th­¬ng Hµn luËn	2	1	97	1	20	999												\image\item\other\coll_097a1.spr	\image\item\other\coll_097a0.spr	S¸ch Y ph¸p næi tiÕng cña danh y Tr­¬ng Träng C¶nh ®êi H¸n, m« t¶ chi tiÕt c¸ch ®iÒu trŞ bÖnh th­¬ng hµn.		Thu thËp		1									
Khª S¬n chİ	2	1	98	1	20	999												\image\item\other\coll_098a1.spr	\image\item\other\coll_098a0.spr	B¶n gèc bøc danh häa B¶n ®å rõng nói cña danh sÜ ®­¬ng triÒu Ph¹m Khoan.		Thu thËp		1									
HuyÔn Quang	2	1	99	1	20	999												\image\item\other\coll_099a1.spr	\image\item\other\coll_099a0.spr	Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
§«ng L¨ng	2	1	100	1	20	999												\image\item\other\coll_100a1.spr	\image\item\other\coll_100a0.spr	Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
MÆt n¹ Thiªn V­¬ng	2	1	101	1	20	999												\image\item\other\coll_101a1.spr	\image\item\other\coll_101a0.spr	Lo¹i mÆt n¹ kú dŞ.		Thu thËp		1									
Nh©n §å Phñ	2	1	102	1	20	999												\image\item\other\coll_102a1.spr	\image\item\other\coll_102a0.spr	Lo¹i binh khİ ®»ng ®»ng s¸t khİ, cã thÓ h¹ gôc nhiÒu ®èi thñ.		Thu thËp		1									
B×nh ¤n dŞch	2	1	103	1	20	999												\image\item\other\coll_103a1.spr	\image\item\other\coll_103a0.spr	Bªn trong chøa lo¹i bÖnh dŞch, tö khİ, kh«ng ai cã thÓ sèng næi.		Thu thËp		1									
Hæ phï	2	1	104	1	20	999												\image\item\other\coll_104a1.spr	\image\item\other\coll_104a0.spr	Ên tİn ®Ó ®iÒu ®éng binh m·!		Thu thËp		1									
Vâ Kinh Tæng YÕu	2	1	105	1	20	999												\image\item\other\coll_105a1.spr	\image\item\other\coll_105a0.spr	Binh th­ m« t¶ chi tiÕt thuËt dông binh trÊn thñ tiÕn tho¸i.		Thu thËp		1									
V¶y Kú L©n	2	1	106	1	20	999												\image\item\other\coll_106a1.spr	\image\item\other\coll_106a0.spr	Kú tr©n dŞ b¶o, cã thÓ kh¸ng thñy kh¸ng háa.		Thu thËp		1									
Hoµng §Õ Néi Kinh	2	1	107	1	20	999												\image\item\other\coll_107a1.spr	\image\item\other\coll_107a0.spr	Y kinh do Thñy tæ Hoµng ®Õ Hoa H¹ biªn so¹n, bªn trong hµm ch­a thuyÕt biÕn hãa ©m d­¬ng trong lôc phñ ngò t¹ng cña c¬ thÓ ng­êi.		Thu thËp		1									
Hoµng Kim b¶o r­¬ng	2	1	108	1	20	999												\image\item\other\secr_001a1.spr	\image\item\other\secr_001a0.spr	R­¬ng thÇn bİ dïng ®Ó chøa b¶o vËt v« cïng an toµn.		ThÇn bİ		1									
X¸ Lîi TruyÒn C«ng	2	1	109	1	20	999												\image\item\other\secr_002a1.spr	\image\item\other\secr_002a0.spr	Cã thÓ c¶i tö håi sinh.		ThÇn bİ		1									
