Tªn giµy	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Søc phßng ngù (ngo¹i ; néi)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Hµn §é	0	101	76	70	15000	0	175	38;13						88	2	4		\image\item\shoe\º®¶Éa1.spr	\image\item\shoe\º®¶Éa0.spr	Dïng cho n÷ hiÖp, cã thÓ chèng ®­îc b¨ng tuyÕt	½¿Ğ¡Å®ÏÂ×°8¼¶Íâ	H¹ y		8	0	0		0					
§Şnh M¹c	0	101	77	70	15000	0	160	13;38						89	1	1		\image\item\shoe\¶¨Ä«a1.spr	\image\item\shoe\¶¨Ä«a0.spr	Trang bŞ ®­îc t¹o thµnh tõ huyÒn s¾c phi vò, tªn gäi §Şnh M¹c, cã thÓ chèng l¹i kiÕm khİ vµ søc nãng cña löa	±ê×¼ÄĞÏÂ×°8¼¶ÄÚ	H¹ y		8	0	0		0					
§»ng Ngäc	0	101	78	70	15000	0	140	13;38						89	1	2		\image\item\shoe\ÌÚÓña1.spr	\image\item\shoe\ÌÚÓña0.spr	Trang bŞ ®­îc t¹o thµnh tõ mét lo¹i t¬ t»m hiÕm cã, kh¶m lªn ngäc quİ, tªn gäi §»ng Ngäc, ch¾c ch¾n v« cïng	¿ıÎàÄĞÏÂ×°8¼¶ÄÚ	H¹ y		8	0	0		0					
Vò M¹c	0	101	79	70	15000	0	200	13;38						89	2	3		\image\item\shoe\ÓêÄ»a1.spr	\image\item\shoe\ÓêÄ»a0.spr	§­îc chÕ t¹o tõ sîi b«ng, mÒm m¹i nh­ mµn m­a, mê mê ¶o ¶o	ĞÔ¸ĞÅ®ÏÂ×°8¼¶ÄÚ	H¹ y		8	0	0		0					
Tinh Lam	0	101	80	70	15000	0	175	13;38						89	2	4		\image\item\shoe\ĞÇá°a1.spr	\image\item\shoe\ĞÇá°a0.spr	Trang bŞ ®­îc chÕ t¹o tõ lo¹i t¬ Thiªn T»m, tªn gäi Tinh Lam, tuyÖt ®Ñp	½¿Ğ¡Å®ÏÂ×°8¼¶ÄÚ	H¹ y		8	0	0		0					
ThÖ V©n	0	101	81	70	20000	0	160	30;30						98	1	1		\image\item\shoe\ÊÅÔÆa1.spr	\image\item\shoe\ÊÅÔÆa0.spr	VËt cÇn cã cho nh÷ng ng­êi hµnh hiÖp tø ph­¬ng	±ê×¼ÄĞÏÂ×°9¼¶	H¹ y		9	0	0		0					
HuyÒn Tiªu	0	101	82	70	20000	0	140	30;30						98	1	2		\image\item\shoe\ĞüÏöa1.spr	\image\item\shoe\ĞüÏöa0.spr	Trang bŞ ®­îc chÕ t¹o tõ Thôc Quı HuyÕt, tªn gäi HuyÒn Tiªu, rÊt m¹nh mÏ, khã khuÊt phôc	¿ıÎàÄĞÏÂ×°9¼¶	H¹ y		9	0	0		0					
Khª V©n	0	101	83	70	20000	0	200	30;30						98	2	3		\image\item\shoe\ÏªÔÆa1.spr	\image\item\shoe\ÏªÔÆa0.spr	Trang bŞ ®­îc lµm tõ N÷ Vò Bè, tªn gäi Khª V©n, thªu ®Çy hoa v¨n rÊt ®Ñp	ĞÔ¸ĞÅ®ÏÂ×°9¼¶	H¹ y		9	0	0		0					
D¹ Ca	0	101	84	70	20000	0	175	30;30						98	2	4		\image\item\shoe\Ò¹¸èa1.spr	\image\item\shoe\Ò¹¸èa0.spr	Vèn cã mµu ®á thÉm, ph¸t ra ¸nh s¸ng mê ¶o trong ®ªm tèi, rÊt huyÒn bİ	½¿Ğ¡Å®ÏÂ×°9¼¶	H¹ y		9	0	0		0					
Thiªn §Şa HuyÒn Hoµng Trang	0	101	85	50	30000	0	200	32;32						70	1	1		\image\item\shoe\ÄĞ»Æ½ğ×°a1.spr	\image\item\shoe\ÄĞ»Æ½ğ×°a0.spr	Thiªn §Şa HuyÒn Hoµng, v¹n vËt biÕn hãa, trang bŞ ®­îc kh¶m linh khİ cña trêi ®Êt, uy lùc v« song	±ê×¼ÄĞ»Æ½ğ×°	H¹ y		9	0	1		0					
Thiªn §Şa HuyÒn Hoµng Trang	0	101	86	50	30000	0	200	32;32						70	1	2		\image\item\shoe\ÄĞ»Æ½ğ×°a1.spr	\image\item\shoe\ÄĞ»Æ½ğ×°a0.spr	Thiªn §Şa HuyÒn Hoµng, v¹n vËt biÕn hãa, trang bŞ ®­îc kh¶m linh khİ cña trêi ®Êt, uy lùc v« song	¿ıÎàÄĞ»Æ½ğ×°	H¹ y		9	0	1		0					
Thiªn §Şa HuyÒn Hoµng Trang	0	101	87	50	30000	0	200	32;32						70	2	3		\image\item\shoe\Å®»Æ½ğ×°a1.spr	\image\item\shoe\Å®»Æ½ğ×°a0.spr	Thiªn §Şa HuyÒn Hoµng, v¹n vËt biÕn hãa, trang bŞ ®­îc kh¶m linh khİ cña trêi ®Êt, uy lùc v« song	ĞÔ¸ĞÅ®»Æ½ğ×°	H¹ y		9	0	1		0					
Thiªn §Şa HuyÒn Hoµng Trang	0	101	88	50	30000	0	200	32;32						70	2	4		\image\item\shoe\Å®»Æ½ğ×°a1.spr	\image\item\shoe\Å®»Æ½ğ×°a0.spr	Thiªn §Şa HuyÒn Hoµng, v¹n vËt biÕn hãa, trang bŞ ®­îc kh¶m linh khİ cña trêi ®Êt, uy lùc v« song	½¿Ğ¡Å®»Æ½ğ×°	H¹ y		9	0	1		0					
HiÖp ThiÕu Bè Trang	0	110	1	10	0	0	10							1	1	1		\image\item\shoe\man1_tro_001a1.spr	\image\item\shoe\man1_tro_001a0.spr	H¹ y dÖt tõ v¶i th«, nh©n sÜ s¬ nhËp giang hå hay mÆc.	±ê×¼ÄĞÏÂÉí001	§· khãa		1	2	1		0					
ViÔn Tóc trang	0	110	2	10	0	0	10							1	1	1		\image\item\shoe\man1_tro_002a1.spr	\image\item\shoe\man1_tro_002a0.spr	DÖt b»ng lo¹i v¶i th« bÒn ch¾c.	±ê×¼ÄĞÏÂÉí002	§· khãa		1	2	1		0					
Lang B× trang	0	110	3	10	0	0	10							1	1	1		\image\item\shoe\man1_tro_003a1.spr	\image\item\shoe\man1_tro_003a0.spr	§­îc lµm tõ da sãi, rÊt bÒn ch¾c.	±ê×¼ÄĞÏÂÉí003	§· khãa		1	2	1		0					
Nh­ ı trang	0	110	4	10	0	0	10							1	1	1		\image\item\shoe\man1_tro_004a1.spr	\image\item\shoe\man1_tro_004a0.spr	H¹ y mÒm m¹i lµm tõ da thó h¶o h¹ng, thİch hîp cho sø gi¶.	±ê×¼ÄĞÏÂÉí012	§· khãa		1	2	1		0					
Hæ B× trang	0	110	5	10	0	0	10							1	1	1		\image\item\shoe\man1_tro_005a1.spr	\image\item\shoe\man1_tro_005a0.spr	§­îc c¸c thî rÌn næi tiÕng ë vïng Giang Nam chÕ t¹o mÒm m¹i, bÒn ch¾c.	±ê×¼ÄĞÏÂÉí004	§· khãa		1	2	1		0					
Khinh Gi¸p trang	0	110	6	10	0	0	10							1	1	1		\image\item\shoe\man1_tro_006a1.spr	\image\item\shoe\man1_tro_006a0.spr	H¹ y chÕ t¹o tinh x¶o, ®Ñp m¾t nh­ng kh«ng tiÖn dïng.	±ê×¼ÄĞÏÂÉí008	§· khãa		1	2	1		0					
D¹ Hµnh trang	0	110	7	10	0	0	10							1	1	1		\image\item\shoe\man1_tro_007a1.spr	\image\item\shoe\man1_tro_007a0.spr	H¹ y cña nh©n sÜ vâ l©m khi hµnh tÈu trong ®ªm.	±ê×¼ÄĞÏÂÉí015	§· khãa		1	2	1		0					
Háa T­êng trang	0	110	8	10	0	0	10							1	1	1		\image\item\shoe\man1_tro_008a1.spr	\image\item\shoe\man1_tro_008a0.spr	Trang phôc thÇn kú lµm b»ng lo¹i v¶i kh¸ng háa.	±ê×¼ÄĞÏÂÉí010	§· khãa		1	2	1		0					
Xİch L©n trang	0	110	9	10	0	0	10							1	1	1		\image\item\shoe\man1_tro_009a1.spr	\image\item\shoe\man1_tro_009a0.spr	Trang phôc lµm tõ da mÒm m¹i nh­ng phßng vÖ rÊt tèt.	±ê×¼ÄĞÏÂÉí005	§· khãa		1	2	1		0					
Nh­ ı trang	0	110	10	10	0	0	10							1	1	1		\image\item\shoe\man1_tro_010a1.spr	\image\item\shoe\man1_tro_010a0.spr	Lo¹i H¹ y cã thÓ ®iÒu chØnh kİch th­íc lín nhá tïy ı.	±ê×¼ÄĞÏÂÉí007	§· khãa		1	2	1		0					
Long B× trang	0	110	11	10	0	0	10							1	1	1		\image\item\shoe\man1_tro_011a1.spr	\image\item\shoe\man1_tro_011a0.spr	H¹ y lµm tõ da ®Şa long, võa ch¾c ch¾n võa cã tİnh ®µn håi.	±ê×¼ÄĞÏÂÉí016	§· khãa		1	2	1		0					
HuyÒn ¶nh trang	0	110	12	10	0	0	10							1	1	1		\image\item\shoe\man1_tro_012a1.spr	\image\item\shoe\man1_tro_012a0.spr	Phôc trang ®Æc biÖt cña giang hå kú hiÖp. Nh©n sÜ giang hå ®Òu m¬ ­íc.	±ê×¼ÄĞÏÂÉí013	§· khãa		1	2	1		0					
Thiªn Lang trang	0	110	13	10	0	0	10							1	1	1		\image\item\shoe\man1_tro_013a1.spr	\image\item\shoe\man1_tro_013a0.spr	Trang phôc th­îng h¹ng, ngµn vµng kh«ng thÓ mua.	±ê×¼ÄĞÏÂÉí017	§· khãa		1	2	1		0					
Phi Ng­ trang	0	110	14	10	0	0	10							1	1	1		\image\item\shoe\man1_tro_014a1.spr	\image\item\shoe\man1_tro_014a0.spr	H¹ y lµm tõ Phi Ng­ b× kh«ng hÒ thÊm n­íc.	±ê×¼ÄĞÏÂÉí011	§· khãa		1	2	1		0					
Thanh V©n trang	0	110	15	10	0	0	10							1	1	1		\image\item\shoe\man1_tro_015a1.spr	\image\item\shoe\man1_tro_015a0.spr	Lùc phßng ngù lín, ®ao kiÕm bÊt nhËp.	±ê×¼ÄĞÏÂÉí006	§· khãa		1	2	1		0					
Bİch L©n trang	0	110	16	10	0	0	10							1	1	1		\image\item\shoe\man1_tro_016a1.spr	\image\item\shoe\man1_tro_016a0.spr	Lµm tõ Da r¾n mÒm nh­ gÊm, cã thÓ kh¸ng ®­îc b¸ch ®éc.	±ê×¼ÄĞÏÂÉí014	§· khãa		1	2	1		0					
S¸t KiÕp trang	0	110	17	10	0	0	10							1	1	1		\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	H¹ y khi mÆc vµo cã s¸t khİ rÊt m¹nh.	±ê×¼ÄĞÏÂÉí018	§· khãa		1	2	1		0					
¤ Tµm trang	0	110	18	10	0	0	10							1	1	1		\image\item\shoe\man1_tro_018a1.spr	\image\item\shoe\man1_tro_018a0.spr	H¹ y dÖt tõ « t¬ ë §¹i TuyÕt s¬n kh¸ng ®éc cùc tèt	±ê×¼ÄĞÏÂÉí009	§· khãa		1	2	1		0					
HiÖp ThiÕu trang	0	110	19	10	0	0	10							1	1	2		\image\item\shoe\man2_tro_001a1.spr	\image\item\shoe\man2_tro_001a0.spr	Lo¹i ¸o v¶i th« t©n thñ th­êng sö dông.	¿ıÎàÄĞÏÂÉí004	§· khãa		1	2	1		0					
Håi Phong trang	0	110	20	10	0	0	10							1	1	2		\image\item\shoe\man2_tro_002a1.spr	\image\item\shoe\man2_tro_002a0.spr	Lo¹i ¸o v¶i th« t©n thñ th­êng sö dông.	¿ıÎàÄĞÏÂÉí001	§· khãa		1	2	1		0					
M·ng Ng­u trang	0	110	21	10	0	0	10							1	1	2		\image\item\shoe\man2_tro_003a1.spr	\image\item\shoe\man2_tro_003a0.spr	DÖt tõ da tr©u rõng nh×n ®¬n gi¶n nh­ng bÒn ch¾c.	¿ıÎàÄĞÏÂÉí002	§· khãa		1	2	1		0					
Kim T¬ trang	0	110	22	10	0	0	10							1	1	2		\image\item\shoe\man2_tro_004a1.spr	\image\item\shoe\man2_tro_004a0.spr	Trang phôc ®­îc ®iÓm xuyÕt thªm t¬ vµng mÒm m¹i, ngµn vµng còng kh«ng thÓ mua.	¿ıÎàÄĞÏÂÉí013	§· khãa		1	2	1		0					
Hµo HiÖp trang	0	110	23	10	0	0	10							1	1	2		\image\item\shoe\man2_tro_005a1.spr	\image\item\shoe\man2_tro_005a0.spr	Trang phôc cña c¸c hiÖp kh¸ch trõ gian diÖt ®¹o	¿ıÎàÄĞÏÂÉí010	§· khãa		1	2	1		0					
Kim Lò trang	0	110	24	10	0	0	10							1	1	2		\image\item\shoe\man2_tro_006a1.spr	\image\item\shoe\man2_tro_006a0.spr	§­îc c¸c thî dÖt næi tiÕng ë TriÕt Giang dÖt thµnh, trªn cã kh¶m ngäc ®¸ng gi¸ ngµn vµng.	¿ıÎàÄĞÏÂÉí014	§· khãa		1	2	1		0					
Du HiÖp trang	0	110	25	10	0	0	10							1	1	2		\image\item\shoe\man2_tro_007a1.spr	\image\item\shoe\man2_tro_007a0.spr	Trang phôc cña c¸c Lôc L©m h¶o h¸n	¿ıÎàÄĞÏÂÉí011	§· khãa		1	2	1		0					
Hæ B× trang	0	110	26	10	0	0	10							1	1	2		\image\item\shoe\man2_tro_008a1.spr	\image\item\shoe\man2_tro_008a0.spr	Lµm tõ Da hæ vµng, mang linh khİ m·nh hæ khiÕn mu«n thó khiÕp sî.	¿ıÎàÄĞÏÂÉí003	§· khãa		1	2	1		0					
CÈm Lan trang	0	110	27	10	0	0	10							1	1	2		\image\item\shoe\man2_tro_009a1.spr	\image\item\shoe\man2_tro_009a0.spr	Lµm tõ lo¹i gÊm CÈm Lan ngò s¾c, lÊp l¸nh trong ¸nh n¾ng.	¿ıÎàÄĞÏÂÉí015	§· khãa		1	2	1		0					
Thanh S­¬ng trang	0	110	28	10	0	0	10							1	1	2		\image\item\shoe\man2_tro_010a1.spr	\image\item\shoe\man2_tro_010a0.spr	DÖt b»ng t¬ nhÖn tuyÕt trªn ®Ønh TuyÕt s¬n cã thÓ phßng phong, kh¸ng b¨ng.	¿ıÎàÄĞÏÂÉí008	§· khãa		1	2	1		0					
Thiªn Phong trang	0	110	29	10	0	0	10							1	1	2		\image\item\shoe\man2_tro_011a1.spr	\image\item\shoe\man2_tro_011a0.spr	Lo¹i y phôc cña c¸c ®¹i hiÖp hµo hiÖp v« song ngao du s¬n thñy.	¿ıÎàÄĞÏÂÉí012	§· khãa		1	2	1		0					
Bİ Èn trang	0	110	30	10	0	0	10							1	1	2		\image\item\shoe\man2_tro_012a1.spr	\image\item\shoe\man2_tro_012a0.spr	H¹ y dÖt tõ t¬ vµng nhuém mµu m¸u thó, mµu s¾c cã thÓ biÕn ®æi.	¿ıÎàÄĞÏÂÉí018	§· khãa		1	2	1		0					
ThÇn S¸ch trang	0	110	31	10	0	0	10							1	1	2		\image\item\shoe\man2_tro_013a1.spr	\image\item\shoe\man2_tro_013a0.spr	Trang phôc cña thèng lÜnh ThÇn S¸ch cÊm qu©n ®êi §­êng.	¿ıÎàÄĞÏÂÉí005	§· khãa		1	2	1		0					
Thiªn L«i trang	0	110	32	10	0	0	10							1	1	2		\image\item\shoe\man2_tro_014a1.spr	\image\item\shoe\man2_tro_014a0.spr	Dïng bïa chó thÇn bİ  hÊp thu Cöu Thiªn l¹c l«i b¶o vÖ th©n thÓ.	¿ıÎàÄĞÏÂÉí017	§· khãa		1	2	1		0					
Nhu C­¬ng trang	0	110	33	10	0	0	10							1	1	2		\image\item\shoe\man2_tro_015a1.spr	\image\item\shoe\man2_tro_015a0.spr	DÖt b»ng lo¹i t¬ thĞp tèt, tuy máng nh­ng lùc phßng thñ rÊt lín.	¿ıÎàÄĞÏÂÉí006	§· khãa		1	2	1		0					
Cuång Viªm trang	0	110	34	10	0	0	10							1	1	2		\image\item\shoe\man2_tro_016a1.spr	\image\item\shoe\man2_tro_016a0.spr	DÖt b»ng t¬ Xİch Viªm cña Háa T»m trªn Viªm S¬n, mÆc vµo táa nhiÖt rÊt m¹nh.	¿ıÎàÄĞÏÂÉí009	§· khãa		1	2	1		0					
HuyÕt Hµ trang	0	110	35	10	0	0	10							1	1	2		\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	Lo¹i trang phôc s¸t khİ xung thiªn, chóng quû ®Òu khiÕp sî.	¿ıÎàÄĞÏÂÉí007	§· khãa		1	2	1		0					
Thiªn C­¬ng Trang	0	110	36	10	0	0	10							1	1	2		\image\item\shoe\man2_tro_018a1.spr	\image\item\shoe\man2_tro_018a0.spr	DÖt tõ ¤ kim máng mÒm, bªn trong cã 36 m¶nh phiÕn gi¸p Thiªn C­¬ng, ®ao th­¬ng bÊt nhËp.	¿ıÎàÄĞÏÂÉí016	§· khãa		1	2	1		0					
Th¸i Tó Trang	0	110	37	10	0	0	10							1	2	3		\image\item\shoe\fm1_tro_001a1.spr	\image\item\shoe\fm1_tro_001a0.spr	Trang phôc n÷ dÖt b»ng t¬ nhiÒu mµu, mÆc vµo rÊt dÔ chŞu.	ĞÔ¸ĞÅ®ÏÂÉí033	§· khãa		1	2	1		0					
Hå C¬ Tó Trang	0	110	38	10	0	0	10							1	2	3		\image\item\shoe\fm1_tro_002a1.spr	\image\item\shoe\fm1_tro_002a0.spr	Trang phôc n÷ do Hå C¬ T©y Vùc dÖt.	ĞÔ¸ĞÅ®ÏÂÉí019	§· khãa		1	2	1		0					
H¾c Nhung Tó Trang	0	110	39	10	0	0	10							1	2	3		\image\item\shoe\fm1_tro_003a1.spr	\image\item\shoe\fm1_tro_003a0.spr	Trang phôc n÷ giang hå dÖt b»ng nhung ®en v« cïng tho¶i m¸i.	ĞÔ¸ĞÅ®ÏÂÉí021	§· khãa		1	2	1		0					
Bİch V©n Tó Trang	0	110	40	10	0	0	10							1	2	3		\image\item\shoe\fm1_tro_004a1.spr	\image\item\shoe\fm1_tro_004a0.spr	Tó trang mµu xanh ngäc bİch, Èn hiÖn khã ®o¸n.	ĞÔ¸ĞÅ®ÏÂÉí022	§· khãa		1	2	1		0					
Vâ LuyÖn Tó Trang	0	110	41	10	0	0	10							1	2	3		\image\item\shoe\fm1_tro_005a1.spr	\image\item\shoe\fm1_tro_005a0.spr	Trang phôc chiÕn ®Êu cña c¸c giang hå hiÖp n÷.	ĞÔ¸ĞÅ®ÏÂÉí031	§· khãa		1	2	1		0					
Háa C¸n Tó Trang	0	110	42	10	0	0	10							1	2	3		\image\item\shoe\fm1_tro_006a1.spr	\image\item\shoe\fm1_tro_006a0.spr	§­îc dÖt tõ v¶i Háa Hoµn kh«ng thÊm n­íc, v« cïng quı hiÕm.	ĞÔ¸ĞÅ®ÏÂÉí034	§· khãa		1	2	1		0					
LuyÖn Gi¸p Tó Trang	0	110	43	10	0	0	10							1	2	3		\image\item\shoe\fm1_tro_007a1.spr	\image\item\shoe\fm1_tro_007a0.spr	Tó trang th­êng cã quÊn m¶nh luyÖn gi¸p, chuyªn dïng kh¾c chÕ §Şa Th¶ng ®ao ph¸p.	ĞÔ¸ĞÅ®ÏÂÉí028	§· khãa		1	2	1		0					
S­ Man Tó Trang	0	110	44	10	0	0	10							1	2	3		\image\item\shoe\fm1_tro_008a1.spr	\image\item\shoe\fm1_tro_008a0.spr	DÖt b»ng gÊm Thiªn Gi¸ng quÊn S­ Man ®ai, di chuyÓn dÔ dµng.	ĞÔ¸ĞÅ®ÏÂÉí020	§· khãa		1	2	1		0					
CÈm Anh Tó Trang	0	110	45	10	0	0	10							1	2	3		\image\item\shoe\fm1_tro_009a1.spr	\image\item\shoe\fm1_tro_009a0.spr	N÷ tó trang dung hßa ThÇn ch©m chøc ph¸p, ch©m ph¸p c­¬ng nhu t­¬ng tÒ, vèn lµ mét m«n vâ häc th­îng thõa.	ĞÔ¸ĞÅ®ÏÂÉí027	§· khãa		1	2	1		0					
V©n Hµ Tó Trang	0	110	46	10	0	0	10							1	2	3		\image\item\shoe\fm1_tro_010a1.spr	\image\item\shoe\fm1_tro_010a0.spr	Dµnh cho c¸c ng­êi ®Ñp vâ l©m sang träng, mang d¸ng vÎ khoan thai quı ph¸i.	ĞÔ¸ĞÅ®ÏÂÉí025	§· khãa		1	2	1		0					
Toµn Kim Gi¸p Trang	0	110	47	10	0	0	10							1	2	3		\image\item\shoe\fm1_tro_011a1.spr	\image\item\shoe\fm1_tro_011a0.spr	DÖt b»ng lo¹i t¬ Tinh thiÕt rÊt nÆng, lùc phßng vÖ lín, bËc n÷ l­u tÇm th­êng kh«ng dïng ®­îc.	ĞÔ¸ĞÅ®ÏÂÉí008	§· khãa		1	2	1		0					
Hång V©n Tó Trang	0	110	48	10	0	0	10							1	2	3		\image\item\shoe\fm1_tro_012a1.spr	\image\item\shoe\fm1_tro_012a0.spr	Tó trang mµu hång, bÒ mÆt nh­ cã bãng m©y l­în lê, tùa hå Èn chøa chiªu kiÕm ph¸p tuyÖt diÖu.	ĞÔ¸ĞÅ®ÏÂÉí006	§· khãa		1	2	1		0					
L«i ThÇn	0	110	49	10	0	0	10							1	2	3		\image\item\shoe\fm1_tro_013a1.spr	\image\item\shoe\fm1_tro_013a0.spr	N÷ phôc L«i M«n ë Tİch LŞch §­êng Giang Nam, mÆt trong cã tói ®ùng Háa khİ.	ĞÔ¸ĞÅ®ÏÂÉí007	§· khãa		1	2	1		0					
Thiªn M·	0	110	50	10	0	0	10							1	2	3		\image\item\shoe\fm1_tro_014a1.spr	\image\item\shoe\fm1_tro_014a0.spr	B¶o vËt tïy th©n cña Thiªn M· bang chñ	ĞÔ¸ĞÅ®ÏÂÉí024	§· khãa		1	2	1		0					
Ph¸ TrËn	0	110	51	10	0	0	10							1	2	3		\image\item\shoe\fm1_tro_015a1.spr	\image\item\shoe\fm1_tro_015a0.spr	N÷ phôc bäc gi¸p nÆng, chuyªn dïng ph¸ trËn.	ĞÔ¸ĞÅ®ÏÂÉí032	§· khãa		1	2	1		0					
PhÊt V©n	0	110	52	10	0	0	10							1	2	3		\image\item\shoe\fm1_tro_016a1.spr	\image\item\shoe\fm1_tro_016a0.spr	N÷ phôc quı hiÕm dÖt b»ng lo¹i gÊm rÊt mÒm m¹i.	ĞÔ¸ĞÅ®ÏÂÉí030	§· khãa		1	2	1		0					
Hæ TiÕu	0	110	53	10	0	0	10							1	2	3		\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	N÷ phôc lµm tõ da cña TiÕu NguyÖt ThÇn Hæ, oai phong lÉm lÉm, s¸t khİ v« biªn.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		1	2	1		0					
Th¸i Thanh	0	110	54	10	0	0	10							1	2	3		\image\item\shoe\fm1_tro_018a1.spr	\image\item\shoe\fm1_tro_018a0.spr	T­¬ng truyÒn lµ b¶o y cña Th­îng Nguyªn phu nh©n tiªn n÷ trªn th­îng giíi, ®Ñp tuyÖt trÇn.	ĞÔ¸ĞÅ®ÏÂÉí026	§· khãa		1	2	1		0					
ThiÓn Th¶o Tó Trang	0	110	55	10	0	0	10							1	2	4		\image\item\shoe\fm2_tro_001a1.spr	\image\item\shoe\fm2_tro_001a0.spr	N÷ H¹ y dÖt b»ng t¬ rÊt dÔ chŞu, tho¶i m¸i.	½¿Ğ¡Å®ÏÂÉí003	§· khãa		1	2	1		0					
Tö Hµ Tó Trang	0	110	56	10	0	0	10							1	2	4		\image\item\shoe\fm2_tro_002a1.spr	\image\item\shoe\fm2_tro_002a0.spr	N÷ H¹ y dÖt b»ng t¬ mµu tİm tr«ng rÊt dŞu dµng.	½¿Ğ¡Å®ÏÂÉí005	§· khãa		1	2	1		0					
Phong TrÇn Tó Trang	0	110	57	10	0	0	10							1	2	4		\image\item\shoe\fm2_tro_003a1.spr	\image\item\shoe\fm2_tro_003a0.spr	H¹ y th­êng dïng cña c¸c giang hå hiÖp n÷.	½¿Ğ¡Å®ÏÂÉí008	§· khãa		1	2	1		0					
Linh VËn Tó Trang	0	110	58	10	0	0	10							1	2	4		\image\item\shoe\fm2_tro_004a1.spr	\image\item\shoe\fm2_tro_004a0.spr	Tó trang cña c¸c thiÕu n÷ danh gia trong vâ l©m th­êng mÆc, Èn chøa nhiÒu linh khİ.	½¿Ğ¡Å®ÏÂÉí004	§· khãa		1	2	1		0					
Phi Hång Tó Trang	0	110	59	10	0	0	10							1	2	4		\image\item\shoe\fm2_tro_005a1.spr	\image\item\shoe\fm2_tro_005a0.spr	H¹ y cña c¸c n÷ cao thñ th­êng mÆc, mang ®Çy s¸t khİ.	½¿Ğ¡Å®ÏÂÉí011	§· khãa		1	2	1		0					
Phong Vò Tó Trang	0	110	60	10	0	0	10							1	2	4		\image\item\shoe\fm2_tro_006a1.spr	\image\item\shoe\fm2_tro_006a0.spr	H¹ y cña c¸c hiÖp n÷ khi hµnh tÈu giang hå th­êng mÆc.	½¿Ğ¡Å®ÏÂÉí001	§· khãa		1	2	1		0					
H·m TrËn Tó Trang	0	110	61	10	0	0	10							1	2	4		\image\item\shoe\fm2_tro_007a1.spr	\image\item\shoe\fm2_tro_007a0.spr	H¹ y cña c¸c n÷ cao thñ giÊu phi ®ao cã ®éc, tªn gäi TiÕt NghÜa.	½¿Ğ¡Å®ÏÂÉí010	§· khãa		1	2	1		0					
Bİch Hå Tó Trang	0	110	62	10	0	0	10							1	2	4		\image\item\shoe\fm2_tro_008a1.spr	\image\item\shoe\fm2_tro_008a0.spr	H¹ y cña c¸c n÷ cao thñ danh gia vâ häc ®Æt ph­êng dÖt ë Giang Nam dÖt thµnh.	½¿Ğ¡Å®ÏÂÉí002	§· khãa		1	2	1		0					
Thiªn Tµm Tó Trang	0	110	63	10	0	0	10							1	2	4		\image\item\shoe\fm2_tro_009a1.spr	\image\item\shoe\fm2_tro_009a0.spr	H¹ y dÖt tõ Thiªn t¬ th­îng ®¼ng, lùc phßng vÖ cho ®«i ch©n rÊt lín.	½¿Ğ¡Å®ÏÂÉí007	§· khãa		1	2	1		0					
Khëi La Tó Trang	0	110	64	10	0	0	10							1	2	4		\image\item\shoe\fm2_tro_010a1.spr	\image\item\shoe\fm2_tro_010a0.spr	H¹ y cña c¸c cung n÷ rÊt ®Ñp vµ dŞu dµng.	½¿Ğ¡Å®ÏÂÉí016	§· khãa		1	2	1		0					
Vâ ThÇn Tó Trang	0	110	65	10	0	0	10							1	2	4		\image\item\shoe\fm2_tro_011a1.spr	\image\item\shoe\fm2_tro_011a0.spr	N÷ phôc vâ ®Êu, phong th¸i anh th­, hµo khİ v« song.	½¿Ğ¡Å®ÏÂÉí012	§· khãa		1	2	1		0					
